Channel	X	Y
Start Time	9/18/2019  16:36:55.	9/18/2019  16:36:55.
Chart History (Refresh Period)	4.048474E-5	4.048474E-5

Time	X	Y
9/18/2019  16:36:55.	-7.016749E-2	-2.361261E+0
9/18/2019  16:36:55.	-7.693156E-2	-2.416823E+0
9/18/2019  16:36:55.	-7.532107E-2	-2.481888E+0
9/18/2019  16:36:55.	-7.387163E-2	-2.541476E+0
9/18/2019  16:36:55.	-7.757576E-2	-2.605575E+0
9/18/2019  16:36:55.	-7.854206E-2	-2.662909E+0
9/18/2019  16:36:55.	-7.950836E-2	-2.719437E+0
9/18/2019  16:36:55.	-7.886416E-2	-2.777577E+0
9/18/2019  16:36:55.	-7.918626E-2	-2.835555E+0
9/18/2019  16:36:55.	-8.160200E-2	-2.892889E+0
9/18/2019  16:36:55.	-8.047465E-2	-2.953122E+0
9/18/2019  16:36:55.	-8.063570E-2	-3.009490E+0
9/18/2019  16:36:55.	-8.256829E-2	-3.061510E+0
9/18/2019  16:36:55.	-8.401774E-2	-3.121260E+0
9/18/2019  16:36:55.	-8.772188E-2	-3.170541E+0
9/18/2019  16:36:55.	-8.578928E-2	-3.224010E+0
9/18/2019  16:36:55.	-8.997657E-2	-3.274741E+0
9/18/2019  16:36:55.	-9.190916E-2	-3.324345E+0
9/18/2019  16:36:55.	-9.384175E-2	-3.376365E+0
9/18/2019  16:36:55.	-9.657959E-2	-3.427096E+0
9/18/2019  16:36:55.	-9.690169E-2	-3.479760E+0
9/18/2019  16:36:55.	-9.835114E-2	-3.522922E+0
9/18/2019  16:36:55.	-9.625750E-2	-3.575102E+0
9/18/2019  16:36:55.	-9.786799E-2	-3.619875E+0
9/18/2019  16:36:55.	-1.002837E-1	-3.664164E+0
9/18/2019  16:36:55.	-9.786799E-2	-3.706843E+0
9/18/2019  16:36:55.	-9.690169E-2	-3.761762E+0
9/18/2019  16:36:55.	-9.738484E-2	-3.796388E+0
9/18/2019  16:36:55.	-9.545225E-2	-3.839228E+0
9/18/2019  16:36:55.	-9.319756E-2	-3.886094E+0
9/18/2019  16:36:55.	-9.609645E-2	-3.919915E+0
9/18/2019  16:36:55.	-9.464700E-2	-3.962916E+0
9/18/2019  16:36:55.	-9.480805E-2	-4.000119E+0
