Channel	X	Y
Start Time	9/18/2019  16:37:19.	9/18/2019  16:37:19.
Chart History (Refresh Period)	4.048474E-5	4.048474E-5

Time	X	Y
9/18/2019  16:37:19.	-1.149392E-1	-4.321097E+0
9/18/2019  16:37:19.	-1.104298E-1	-4.295006E+0
9/18/2019  16:37:19.	-1.157445E-1	-4.266822E+0
9/18/2019  16:37:19.	-1.192876E-1	-4.231068E+0
9/18/2019  16:37:19.	-1.188044E-1	-4.204817E+0
9/18/2019  16:37:19.	-1.141340E-1	-4.170190E+0
9/18/2019  16:37:19.	-1.123624E-1	-4.134759E+0
9/18/2019  16:37:19.	-1.128456E-1	-4.096911E+0
9/18/2019  16:37:19.	-1.102688E-1	-4.062446E+0
9/18/2019  16:37:19.	-1.081752E-1	-4.027176E+0
9/18/2019  16:37:19.	-1.065647E-1	-3.990456E+0
9/18/2019  16:37:19.	-1.078531E-1	-3.955507E+0
9/18/2019  16:37:19.	-1.036658E-1	-3.909930E+0
9/18/2019  16:37:19.	-1.105909E-1	-3.865962E+0
9/18/2019  16:37:19.	-1.047931E-1	-3.832302E+0
9/18/2019  16:37:19.	-9.899534E-2	-3.787208E+0
9/18/2019  16:37:19.	-1.025384E-1	-3.745012E+0
9/18/2019  16:37:19.	-1.001227E-1	-3.701206E+0
9/18/2019  16:37:19.	-9.980058E-2	-3.659333E+0
9/18/2019  16:37:19.	-9.835114E-2	-3.605380E+0
9/18/2019  16:37:19.	-9.786799E-2	-3.559964E+0
9/18/2019  16:37:19.	-9.802904E-2	-3.513581E+0
9/18/2019  16:37:19.	-9.625750E-2	-3.465748E+0
9/18/2019  16:37:19.	-9.078182E-2	-3.413085E+0
9/18/2019  16:37:19.	-9.255336E-2	-3.363159E+0
9/18/2019  16:37:19.	-8.852712E-2	-3.311783E+0
9/18/2019  16:37:19.	-8.756083E-2	-3.262340E+0
9/18/2019  16:37:19.	-8.305144E-2	-3.209838E+0
9/18/2019  16:37:19.	-8.369564E-2	-3.158301E+0
9/18/2019  16:37:19.	-8.031360E-2	-3.099679E+0
9/18/2019  16:37:19.	-7.934731E-2	-3.049914E+0
9/18/2019  16:37:19.	-7.789786E-2	-2.991291E+0
9/18/2019  16:37:19.	-7.548212E-2	-2.932508E+0
9/18/2019  16:37:19.	-7.242218E-2	-2.878234E+0
9/18/2019  16:37:19.	-7.451582E-2	-2.824281E+0
9/18/2019  16:37:19.	-7.371058E-2	-2.767592E+0
9/18/2019  16:37:19.	-7.274428E-2	-2.709291E+0
9/18/2019  16:37:19.	-7.467687E-2	-2.645193E+0
9/18/2019  16:37:19.	-7.097274E-2	-2.586571E+0
9/18/2019  16:37:19.	-7.177798E-2	-2.522311E+0
9/18/2019  16:37:19.	-6.904014E-2	-2.462401E+0
9/18/2019  16:37:19.	-6.936224E-2	-2.399108E+0
9/18/2019  16:37:19.	-6.565810E-2	-2.333721E+0
9/18/2019  16:37:19.	-6.324236E-2	-2.271234E+0
9/18/2019  16:37:19.	-6.018242E-2	-2.208907E+0
9/18/2019  16:37:19.	-5.873298E-2	-2.149802E+0
9/18/2019  16:37:19.	-5.776668E-2	-2.080872E+0
9/18/2019  16:37:19.	-5.535094E-2	-2.019351E+0
9/18/2019  16:37:19.	-5.341835E-2	-1.955898E+0
9/18/2019  16:37:19.	-5.180785E-2	-1.885519E+0
9/18/2019  16:37:19.	-4.923106E-2	-1.817395E+0
9/18/2019  16:37:19.	-5.035841E-2	-1.753780E+0
9/18/2019  16:37:19.	-4.842581E-2	-1.686783E+0
9/18/2019  16:37:19.	-4.794267E-2	-1.619142E+0
9/18/2019  16:37:19.	-4.907001E-2	-1.550696E+0
9/18/2019  16:37:19.	-4.713742E-2	-1.480961E+0
9/18/2019  16:37:19.	-4.488273E-2	-1.413965E+0
9/18/2019  16:37:19.	-4.697637E-2	-1.345841E+0
9/18/2019  16:37:19.	-4.359433E-2	-1.272885E+0
