Channel	X	Y
Start Time	9/18/2019  16:24:41.	9/18/2019  16:24:41.
Chart History (Refresh Period)	1.229289E-5	1.229289E-5

Time	X	Y
9/18/2019  16:24:41.	-1.220254E-1	-4.701665E+0
9/18/2019  16:24:41.	-1.175160E-1	-4.700538E+0
9/18/2019  16:24:41.	-1.183213E-1	-4.702149E+0
9/18/2019  16:24:41.	-1.210591E-1	-4.711812E+0
9/18/2019  16:24:41.	-1.202539E-1	-4.710523E+0
9/18/2019  16:24:41.	-1.202539E-1	-4.711651E+0
9/18/2019  16:24:41.	-1.204149E-1	-4.710362E+0
9/18/2019  16:24:41.	-1.217033E-1	-4.712134E+0
9/18/2019  16:24:41.	-1.196097E-1	-4.711973E+0
9/18/2019  16:24:41.	-1.192876E-1	-4.711973E+0
9/18/2019  16:24:41.	-1.194486E-1	-4.715999E+0
9/18/2019  16:24:41.	-1.221865E-1	-4.720348E+0
9/18/2019  16:24:41.	-1.205760E-1	-4.720992E+0
9/18/2019  16:24:41.	-1.213812E-1	-4.720831E+0
9/18/2019  16:24:41.	-1.200928E-1	-4.721797E+0
9/18/2019  16:24:41.	-1.196097E-1	-4.721314E+0
9/18/2019  16:24:41.	-1.221865E-1	-4.719542E+0
9/18/2019  16:24:41.	-1.207370E-1	-4.719381E+0
9/18/2019  16:24:41.	-1.218644E-1	-4.719220E+0
9/18/2019  16:24:41.	-1.184823E-1	-4.720187E+0
9/18/2019  16:24:41.	-1.208981E-1	-4.720831E+0
9/18/2019  16:24:41.	-1.207370E-1	-4.720670E+0
9/18/2019  16:24:41.	-1.207370E-1	-4.720187E+0
9/18/2019  16:24:41.	-1.218644E-1	-4.719865E+0
9/18/2019  16:24:41.	-1.208981E-1	-4.709074E+0
9/18/2019  16:24:41.	-1.308638E+0	-4.721636E+0
9/18/2019  16:24:41.	-3.085206E-1	-4.711007E+0
9/18/2019  16:24:41.	-1.667971E-1	-4.710362E+0
9/18/2019  16:24:41.	-1.344262E-1	-4.712617E+0
9/18/2019  16:24:41.	-1.286284E-1	-4.712295E+0
9/18/2019  16:24:41.	-1.258906E-1	-4.713583E+0
9/18/2019  16:24:41.	-1.221865E-1	-4.711490E+0
9/18/2019  16:24:41.	-1.212202E-1	-4.713422E+0
9/18/2019  16:24:41.	-1.220254E-1	-4.702471E+0
9/18/2019  16:24:41.	-1.208981E-1	-4.703276E+0
9/18/2019  16:24:41.	-1.231528E-1	-4.702310E+0
9/18/2019  16:24:41.	-1.217033E-1	-4.703598E+0
9/18/2019  16:24:41.	-1.192876E-1	-4.701988E+0
9/18/2019  16:24:41.	-1.213812E-1	-4.703115E+0
9/18/2019  16:24:41.	-1.217033E-1	-4.693291E+0
9/18/2019  16:24:41.	-1.207370E-1	-4.694418E+0
9/18/2019  16:24:41.	-1.213812E-1	-4.694740E+0
9/18/2019  16:24:41.	-1.126845E-1	-4.692002E+0
9/18/2019  16:24:41.	-1.208981E-1	-4.684916E+0
9/18/2019  16:24:41.	-1.218644E-1	-4.684916E+0
9/18/2019  16:24:41.	-1.223475E-1	-4.684755E+0
9/18/2019  16:24:41.	-1.218644E-1	-4.674447E+0
9/18/2019  16:24:41.	-1.215423E-1	-4.676702E+0
9/18/2019  16:24:41.	-1.194486E-1	-4.676380E+0
9/18/2019  16:24:41.	-1.194486E-1	-4.666395E+0
9/18/2019  16:24:41.	-2.614942E-1	-4.667039E+0
9/18/2019  16:24:41.	-1.399019E-1	-4.667039E+0
9/18/2019  16:24:41.	-1.260516E-1	-4.657376E+0
9/18/2019  16:24:41.	-1.226696E-1	-4.658664E+0
9/18/2019  16:24:41.	-1.200928E-1	-4.650128E+0
9/18/2019  16:24:41.	-1.202539E-1	-4.649162E+0
9/18/2019  16:24:41.	-1.183213E-1	-4.649162E+0
9/18/2019  16:24:41.	-1.173550E-1	-4.638532E+0
9/18/2019  16:24:41.	-1.194486E-1	-4.640143E+0
9/18/2019  16:24:41.	-1.204149E-1	-4.630963E+0
9/18/2019  16:24:41.	-1.208981E-1	-4.629513E+0
9/18/2019  16:24:41.	-1.171939E-1	-4.630802E+0
9/18/2019  16:24:41.	-1.171939E-1	-4.621461E+0
9/18/2019  16:24:41.	-1.210591E-1	-4.614374E+0
9/18/2019  16:24:41.	-1.204149E-1	-4.611637E+0
9/18/2019  16:24:41.	-1.181602E-1	-4.603584E+0
9/18/2019  16:24:41.	-1.200928E-1	-4.604067E+0
9/18/2019  16:24:41.	-1.189655E-1	-4.594082E+0
9/18/2019  16:24:41.	-1.202539E-1	-4.594243E+0
9/18/2019  16:24:41.	-1.191265E-1	-4.585224E+0
9/18/2019  16:24:41.	-1.210591E-1	-4.585546E+0
9/18/2019  16:24:41.	-1.213812E-1	-4.577493E+0
9/18/2019  16:24:41.	-1.188044E-1	-4.576688E+0
9/18/2019  16:24:41.	-1.168718E-1	-4.567186E+0
9/18/2019  16:24:41.	-1.176771E-1	-4.559616E+0
9/18/2019  16:24:41.	-1.181602E-1	-4.558650E+0
9/18/2019  16:24:41.	-1.196097E-1	-4.550436E+0
9/18/2019  16:24:41.	-1.208981E-1	-4.540451E+0
9/18/2019  16:24:41.	-1.186434E-1	-4.539807E+0
9/18/2019  16:24:41.	-1.186434E-1	-4.530305E+0
9/18/2019  16:24:41.	-1.192876E-1	-4.521930E+0
9/18/2019  16:24:41.	-1.184823E-1	-4.521930E+0
9/18/2019  16:24:41.	-1.184823E-1	-4.511945E+0
9/18/2019  16:24:41.	-1.213812E-1	-4.504375E+0
9/18/2019  16:24:41.	-1.218644E-1	-4.505341E+0
9/18/2019  16:24:41.	-1.176771E-1	-4.495517E+0
9/18/2019  16:24:41.	-1.170329E-1	-4.485371E+0
9/18/2019  16:24:41.	-1.179992E-1	-4.477157E+0
9/18/2019  16:24:41.	-1.171939E-1	-4.478284E+0
9/18/2019  16:24:41.	-1.141340E-1	-4.469265E+0
9/18/2019  16:24:41.	-1.188044E-1	-4.459119E+0
9/18/2019  16:24:41.	-1.186434E-1	-4.448973E+0
9/18/2019  16:24:41.	-1.179992E-1	-4.448490E+0
9/18/2019  16:24:41.	-1.179992E-1	-4.439793E+0
9/18/2019  16:24:41.	-1.171939E-1	-4.432223E+0
9/18/2019  16:24:41.	-1.181602E-1	-4.422399E+0
9/18/2019  16:24:41.	-1.170329E-1	-4.411447E+0
9/18/2019  16:24:41.	-1.151003E-1	-4.403234E+0
9/18/2019  16:24:41.	-1.157445E-1	-4.395986E+0
9/18/2019  16:24:41.	-1.212202E-1	-4.383746E+0
9/18/2019  16:24:41.	-1.183213E-1	-4.385518E+0
9/18/2019  16:24:41.	-1.159055E-1	-4.379559E+0
9/18/2019  16:24:41.	-1.151003E-1	-4.370218E+0
9/18/2019  16:24:41.	-1.139729E-1	-4.359588E+0
9/18/2019  16:24:41.	-1.162276E-1	-4.348959E+0
9/18/2019  16:24:41.	-1.176771E-1	-4.340584E+0
9/18/2019  16:24:41.	-1.160666E-1	-4.332531E+0
9/18/2019  16:24:41.	-1.162276E-1	-4.324318E+0
9/18/2019  16:24:41.	-1.134898E-1	-4.314010E+0
9/18/2019  16:24:41.	-1.151003E-1	-4.303381E+0
9/18/2019  16:24:41.	-1.151003E-1	-4.295328E+0
9/18/2019  16:24:41.	-1.163887E-1	-4.286470E+0
9/18/2019  16:24:41.	-1.139729E-1	-4.278579E+0
9/18/2019  16:24:41.	-1.138119E-1	-4.269238E+0
9/18/2019  16:24:41.	-1.139729E-1	-4.259575E+0
9/18/2019  16:24:41.	-1.133287E-1	-4.252810E+0
9/18/2019  16:24:41.	-1.133287E-1	-4.242503E+0
9/18/2019  16:24:41.	-1.131677E-1	-4.233323E+0
9/18/2019  16:24:41.	-1.130066E-1	-4.224626E+0
9/18/2019  16:24:41.	-1.112351E-1	-4.213997E+0
9/18/2019  16:24:41.	-1.120403E-1	-4.197408E+0
9/18/2019  16:24:41.	-1.097856E-1	-4.187906E+0
9/18/2019  16:24:41.	-1.118793E-1	-4.179692E+0
9/18/2019  16:24:41.	-1.142950E-1	-4.168741E+0
9/18/2019  16:24:41.	-1.096246E-1	-4.162943E+0
9/18/2019  16:24:41.	-1.060815E-1	-4.153441E+0
9/18/2019  16:24:41.	-1.068868E-1	-4.142972E+0
9/18/2019  16:24:41.	-1.067257E-1	-4.126384E+0
9/18/2019  16:24:41.	-1.049542E-1	-4.115916E+0
9/18/2019  16:24:41.	-1.091415E-1	-4.109151E+0
9/18/2019  16:24:41.	-1.086583E-1	-4.099810E+0
9/18/2019  16:24:41.	-1.081752E-1	-4.090308E+0
9/18/2019  16:24:41.	-1.062426E-1	-4.073237E+0
9/18/2019  16:24:41.	-1.057594E-1	-4.063090E+0
9/18/2019  16:24:41.	-1.057594E-1	-4.054071E+0
9/18/2019  16:24:41.	-1.072089E-1	-4.045375E+0
9/18/2019  16:24:41.	-1.015721E-1	-4.028142E+0
9/18/2019  16:24:41.	-1.055984E-1	-4.019445E+0
9/18/2019  16:24:41.	-1.044710E-1	-4.010426E+0
9/18/2019  16:24:41.	-1.055984E-1	-3.992388E+0
9/18/2019  16:24:41.	-1.057594E-1	-3.983853E+0
9/18/2019  16:24:41.	-1.067257E-1	-3.974834E+0
9/18/2019  16:24:41.	-1.047931E-1	-3.957923E+0
9/18/2019  16:24:41.	-1.022163E-1	-3.947616E+0
9/18/2019  16:24:41.	-1.026995E-1	-3.938919E+0
9/18/2019  16:24:41.	-1.036658E-1	-3.919915E+0
9/18/2019  16:24:41.	-1.028605E-1	-3.912667E+0
9/18/2019  16:24:41.	-1.015721E-1	-3.894952E+0
9/18/2019  16:24:41.	-1.043100E-1	-3.886577E+0
9/18/2019  16:24:41.	-1.025384E-1	-3.877075E+0
9/18/2019  16:24:41.	-9.915639E-2	-3.859037E+0
9/18/2019  16:24:41.	-9.931744E-2	-3.850340E+0
9/18/2019  16:24:41.	-1.015721E-1	-3.831819E+0
9/18/2019  16:24:41.	-1.017332E-1	-3.823928E+0
9/18/2019  16:24:41.	-1.006058E-1	-3.814104E+0
9/18/2019  16:24:41.	-9.931744E-2	-3.796388E+0
9/18/2019  16:24:41.	-9.802904E-2	-3.788657E+0
9/18/2019  16:24:41.	-1.002837E-1	-3.770942E+0
9/18/2019  16:24:41.	-9.931744E-2	-3.763533E+0
9/18/2019  16:24:41.	-9.996163E-2	-3.746462E+0
9/18/2019  16:24:41.	-9.996163E-2	-3.727458E+0
9/18/2019  16:24:41.	-1.006058E-1	-3.719727E+0
9/18/2019  16:24:41.	-9.963953E-2	-3.699596E+0
9/18/2019  16:24:41.	-1.017332E-1	-3.693315E+0
9/18/2019  16:24:41.	-1.001227E-1	-3.674471E+0
9/18/2019  16:24:41.	-1.004448E-1	-3.666902E+0
9/18/2019  16:24:41.	-9.835114E-2	-3.649508E+0
9/18/2019  16:24:41.	-9.625750E-2	-3.639362E+0
9/18/2019  16:24:41.	-1.009279E-1	-3.622291E+0
9/18/2019  16:24:41.	-1.015721E-1	-3.605380E+0
9/18/2019  16:24:41.	-1.010890E-1	-3.589114E+0
9/18/2019  16:24:41.	-9.754589E-2	-3.578646E+0
9/18/2019  16:24:41.	-9.947848E-2	-3.561091E+0
9/18/2019  16:24:41.	-1.007669E-1	-3.551267E+0
9/18/2019  16:24:41.	-9.947848E-2	-3.534356E+0
9/18/2019  16:24:41.	-9.899534E-2	-3.515835E+0
9/18/2019  16:24:41.	-9.947848E-2	-3.508588E+0
9/18/2019  16:24:41.	-9.657959E-2	-3.492000E+0
9/18/2019  16:24:41.	-9.786799E-2	-3.474767E+0
9/18/2019  16:24:41.	-1.006058E-1	-3.456085E+0
9/18/2019  16:24:41.	-9.609645E-2	-3.447066E+0
9/18/2019  16:24:41.	-9.513015E-2	-3.430800E+0
9/18/2019  16:24:41.	-9.496910E-2	-3.414212E+0
9/18/2019  16:24:41.	-9.319756E-2	-3.397946E+0
9/18/2019  16:24:41.	-9.561330E-2	-3.387638E+0
9/18/2019  16:24:41.	-9.545225E-2	-3.370406E+0
9/18/2019  16:24:41.	-9.835114E-2	-3.353657E+0
9/18/2019  16:24:41.	-9.335861E-2	-3.337551E+0
9/18/2019  16:24:41.	-9.368071E-2	-3.327888E+0
9/18/2019  16:24:41.	-9.110391E-2	-3.309690E+0
9/18/2019  16:24:41.	-9.029867E-2	-3.293584E+0
9/18/2019  16:24:41.	-9.239231E-2	-3.277962E+0
9/18/2019  16:24:41.	-9.013762E-2	-3.260086E+0
9/18/2019  16:24:41.	-9.432490E-2	-3.244464E+0
9/18/2019  16:24:41.	-9.062077E-2	-3.225138E+0
9/18/2019  16:24:41.	-9.013762E-2	-3.215958E+0
9/18/2019  16:24:41.	-8.901027E-2	-3.199530E+0
9/18/2019  16:24:41.	-8.981552E-2	-3.184069E+0
9/18/2019  16:24:41.	-8.949342E-2	-3.166354E+0
9/18/2019  16:24:41.	-8.836607E-2	-3.151215E+0
9/18/2019  16:24:41.	-8.884922E-2	-3.133660E+0
9/18/2019  16:24:41.	-8.595033E-2	-3.115623E+0
9/18/2019  16:24:41.	-8.820502E-2	-3.098873E+0
9/18/2019  16:24:41.	-8.675558E-2	-3.081480E+0
9/18/2019  16:24:41.	-8.466194E-2	-3.066824E+0
9/18/2019  16:24:41.	-8.514509E-2	-3.048464E+0
9/18/2019  16:24:41.	-8.482299E-2	-3.030588E+0
9/18/2019  16:24:41.	-8.256829E-2	-3.015127E+0
9/18/2019  16:24:41.	-8.208515E-2	-2.999827E+0
9/18/2019  16:24:41.	-8.401774E-2	-2.980823E+0
9/18/2019  16:24:41.	-8.353459E-2	-2.964557E+0
9/18/2019  16:24:41.	-8.095780E-2	-2.948291E+0
9/18/2019  16:24:41.	-8.289039E-2	-2.930414E+0
9/18/2019  16:24:41.	-7.902521E-2	-2.913665E+0
9/18/2019  16:24:41.	-8.063570E-2	-2.897560E+0
9/18/2019  16:24:41.	-7.934731E-2	-2.880649E+0
9/18/2019  16:24:41.	-8.160200E-2	-2.864544E+0
9/18/2019  16:24:41.	-8.160200E-2	-2.848600E+0
9/18/2019  16:24:41.	-7.838101E-2	-2.822510E+0
9/18/2019  16:24:41.	-7.983045E-2	-2.806405E+0
9/18/2019  16:24:41.	-7.773681E-2	-2.789656E+0
9/18/2019  16:24:41.	-7.902521E-2	-2.773389E+0
9/18/2019  16:24:41.	-7.677051E-2	-2.757123E+0
9/18/2019  16:24:41.	-7.838101E-2	-2.741179E+0
9/18/2019  16:24:41.	-7.902521E-2	-2.722336E+0
9/18/2019  16:24:41.	-7.999150E-2	-2.699950E+0
9/18/2019  16:24:41.	-7.644842E-2	-2.683201E+0
9/18/2019  16:24:41.	-7.677051E-2	-2.665969E+0
9/18/2019  16:24:41.	-7.693156E-2	-2.649219E+0
9/18/2019  16:24:41.	-7.725366E-2	-2.632470E+0
9/18/2019  16:24:41.	-7.242218E-2	-2.608151E+0
9/18/2019  16:24:41.	-7.371058E-2	-2.592852E+0
9/18/2019  16:24:41.	-7.628737E-2	-2.575941E+0
9/18/2019  16:24:41.	-7.548212E-2	-2.557098E+0
9/18/2019  16:24:41.	-7.306638E-2	-2.535357E+0
9/18/2019  16:24:41.	-7.161693E-2	-2.519251E+0
9/18/2019  16:24:41.	-7.032854E-2	-2.502341E+0
9/18/2019  16:24:41.	-6.920119E-2	-2.476090E+0
9/18/2019  16:24:41.	-7.242218E-2	-2.461756E+0
9/18/2019  16:24:41.	-6.984539E-2	-2.445812E+0
9/18/2019  16:24:41.	-7.274428E-2	-2.419400E+0
9/18/2019  16:24:41.	-7.016749E-2	-2.405872E+0
9/18/2019  16:24:41.	-6.952329E-2	-2.389445E+0
9/18/2019  16:24:41.	-6.501391E-2	-2.365287E+0
9/18/2019  16:24:41.	-6.871804E-2	-2.348055E+0
9/18/2019  16:24:41.	-6.565810E-2	-2.331950E+0
9/18/2019  16:24:41.	-6.501391E-2	-2.308436E+0
9/18/2019  16:24:41.	-6.581915E-2	-2.292331E+0
9/18/2019  16:24:41.	-6.533601E-2	-2.268013E+0
9/18/2019  16:24:41.	-6.710755E-2	-2.251103E+0
9/18/2019  16:24:41.	-6.372551E-2	-2.237091E+0
9/18/2019  16:24:41.	-6.227607E-2	-2.212612E+0
9/18/2019  16:24:41.	-6.453076E-2	-2.195862E+0
9/18/2019  16:24:41.	-5.680039E-2	-2.172993E+0
9/18/2019  16:24:41.	-5.776668E-2	-2.157693E+0
9/18/2019  16:24:41.	-5.454569E-2	-2.132409E+0
9/18/2019  16:24:41.	-5.454569E-2	-2.116142E+0
9/18/2019  16:24:41.	-5.116365E-2	-2.101326E+0
9/18/2019  16:24:41.	-5.261310E-2	-2.078618E+0
9/18/2019  16:24:41.	-5.309625E-2	-2.061385E+0
9/18/2019  16:24:41.	-5.374045E-2	-2.037228E+0
9/18/2019  16:24:41.	-5.245205E-2	-2.022572E+0
9/18/2019  16:24:41.	-4.923106E-2	-1.999703E+0
9/18/2019  16:24:41.	-5.229100E-2	-1.983115E+0
9/18/2019  16:24:41.	-5.019736E-2	-1.960568E+0
9/18/2019  16:24:41.	-5.148575E-2	-1.937538E+0
9/18/2019  16:24:41.	-5.068051E-2	-1.918051E+0
9/18/2019  16:24:41.	-4.794267E-2	-1.897920E+0
9/18/2019  16:24:41.	-4.778162E-2	-1.875373E+0
9/18/2019  16:24:41.	-4.794267E-2	-1.858784E+0
9/18/2019  16:24:41.	-4.794267E-2	-1.835593E+0
9/18/2019  16:24:41.	-4.810372E-2	-1.820455E+0
9/18/2019  16:24:41.	-5.116365E-2	-1.797746E+0
9/18/2019  16:24:41.	-4.617112E-2	-1.772784E+0
9/18/2019  16:24:41.	-4.552692E-2	-1.758611E+0
9/18/2019  16:24:41.	-4.713742E-2	-1.736064E+0
9/18/2019  16:24:41.	-4.633217E-2	-1.713839E+0
9/18/2019  16:24:41.	-4.536588E-2	-1.696768E+0
9/18/2019  16:24:41.	-4.520483E-2	-1.675349E+0
9/18/2019  16:24:41.	-4.681532E-2	-1.650869E+0
9/18/2019  16:24:41.	-4.423853E-2	-1.636374E+0
9/18/2019  16:24:41.	-4.359433E-2	-1.613344E+0
9/18/2019  16:24:41.	-4.343328E-2	-1.591442E+0
9/18/2019  16:24:41.	-4.295013E-2	-1.575820E+0
9/18/2019  16:24:41.	-4.423853E-2	-1.552468E+0
9/18/2019  16:24:41.	-4.295013E-2	-1.530082E+0
9/18/2019  16:24:41.	-4.037334E-2	-1.506890E+0
9/18/2019  16:24:41.	-3.940705E-2	-1.490463E+0
9/18/2019  16:24:41.	-4.085649E-2	-1.468561E+0
9/18/2019  16:24:41.	-4.021229E-2	-1.446658E+0
9/18/2019  16:24:41.	-3.795760E-2	-1.424916E+0
9/18/2019  16:24:41.	-3.860180E-2	-1.408489E+0
9/18/2019  16:24:41.	-3.554186E-2	-1.385459E+0
9/18/2019  16:24:41.	-3.731340E-2	-1.364039E+0
9/18/2019  16:24:41.	-3.731340E-2	-1.343264E+0
9/18/2019  16:24:41.	-3.924600E-2	-1.321200E+0
9/18/2019  16:24:41.	-3.489766E-2	-1.302840E+0
9/18/2019  16:24:41.	-3.360927E-2	-1.278683E+0
9/18/2019  16:24:41.	-3.425346E-2	-1.255975E+0
9/18/2019  16:24:41.	-3.441451E-2	-1.232140E+0
9/18/2019  16:24:41.	-3.360927E-2	-1.217162E+0
9/18/2019  16:24:41.	-3.538081E-2	-1.193971E+0
9/18/2019  16:24:41.	-3.457556E-2	-1.173034E+0
9/18/2019  16:24:41.	-3.006618E-2	-1.149038E+0
9/18/2019  16:24:41.	-3.071038E-2	-1.127618E+0
9/18/2019  16:24:41.	-3.183772E-2	-1.105716E+0
9/18/2019  16:24:41.	-2.958303E-2	-1.084296E+0
9/18/2019  16:24:41.	-3.103248E-2	-1.062715E+0
9/18/2019  16:24:41.	-3.006618E-2	-1.040974E+0
9/18/2019  16:24:41.	-2.893883E-2	-1.018427E+0
9/18/2019  16:24:41.	-2.748939E-2	-1.004738E+0
9/18/2019  16:24:41.	-2.909988E-2	-9.831569E-1
9/18/2019  16:24:41.	-2.845568E-2	-9.617373E-1
9/18/2019  16:24:41.	-3.167667E-2	-9.406398E-1
9/18/2019  16:24:41.	-2.942198E-2	-9.190592E-1
9/18/2019  16:24:41.	-2.716729E-2	-8.957070E-1
9/18/2019  16:24:41.	-2.909988E-2	-8.758979E-1
9/18/2019  16:24:41.	-2.748939E-2	-8.548004E-1
9/18/2019  16:24:41.	-2.732834E-2	-8.319314E-1
9/18/2019  16:24:41.	-2.877778E-2	-8.113171E-1
9/18/2019  16:24:41.	-2.716729E-2	-7.902196E-1
9/18/2019  16:24:41.	-2.765044E-2	-7.686390E-1
9/18/2019  16:24:41.	-2.732834E-2	-7.480246E-1
9/18/2019  16:24:41.	-2.781149E-2	-7.264440E-1
9/18/2019  16:24:41.	-2.636204E-2	-7.045413E-1
9/18/2019  16:24:41.	-2.587889E-2	-6.850543E-1
9/18/2019  16:24:41.	-2.620099E-2	-6.557433E-1
9/18/2019  16:24:41.	-2.410735E-2	-6.348068E-1
9/18/2019  16:24:41.	-2.378525E-2	-6.154809E-1
9/18/2019  16:24:41.	-2.732834E-2	-5.929340E-1
9/18/2019  16:24:41.	-2.716729E-2	-5.665219E-1
9/18/2019  16:24:41.	-2.314105E-2	-5.436528E-1
9/18/2019  16:24:41.	-2.475155E-2	-5.233606E-1
9/18/2019  16:24:41.	-2.314105E-2	-5.008137E-1
9/18/2019  16:24:41.	-2.314105E-2	-4.808435E-1
9/18/2019  16:24:41.	-2.185266E-2	-4.594240E-1
9/18/2019  16:24:41.	-2.298000E-2	-4.384875E-1
