Channel	X	Y
Start Time	9/18/2019  16:36:27.	9/18/2019  16:36:27.
Chart History (Refresh Period)	4.048474E-5	4.048474E-5

Time	X	Y
9/18/2019  16:36:27.	-6.887909E-2	-2.150124E+0
9/18/2019  16:36:27.	-6.936224E-2	-2.211806E+0
9/18/2019  16:36:27.	-7.145588E-2	-2.272039E+0
9/18/2019  16:36:27.	-7.371058E-2	-2.333399E+0
9/18/2019  16:36:27.	-7.580422E-2	-2.397819E+0
9/18/2019  16:36:27.	-7.435477E-2	-2.462401E+0
9/18/2019  16:36:27.	-7.709261E-2	-2.521345E+0
9/18/2019  16:36:27.	-7.838101E-2	-2.585604E+0
9/18/2019  16:36:27.	-7.644842E-2	-2.641811E+0
9/18/2019  16:36:27.	-7.580422E-2	-2.699467E+0
9/18/2019  16:36:27.	-8.063570E-2	-2.766142E+0
9/18/2019  16:36:27.	-7.886416E-2	-2.824926E+0
9/18/2019  16:36:27.	-7.693156E-2	-2.882421E+0
9/18/2019  16:36:27.	-7.870311E-2	-2.939755E+0
9/18/2019  16:36:27.	-7.870311E-2	-2.990808E+0
9/18/2019  16:36:27.	-8.047465E-2	-3.049753E+0
9/18/2019  16:36:27.	-8.176305E-2	-3.102900E+0
9/18/2019  16:36:27.	-8.160200E-2	-3.160556E+0
9/18/2019  16:36:27.	-8.723873E-2	-3.210804E+0
9/18/2019  16:36:27.	-8.627243E-2	-3.261857E+0
9/18/2019  16:36:27.	-8.723873E-2	-3.312427E+0
9/18/2019  16:36:27.	-9.029867E-2	-3.365896E+0
9/18/2019  16:36:27.	-9.158706E-2	-3.417272E+0
9/18/2019  16:36:27.	-9.368071E-2	-3.471063E+0
9/18/2019  16:36:27.	-9.207021E-2	-3.512453E+0
9/18/2019  16:36:27.	-9.513015E-2	-3.564151E+0
9/18/2019  16:36:27.	-9.400280E-2	-3.609890E+0
9/18/2019  16:36:27.	-9.625750E-2	-3.653213E+0
9/18/2019  16:36:27.	-9.577435E-2	-3.697019E+0
9/18/2019  16:36:27.	-9.835114E-2	-3.740986E+0
9/18/2019  16:36:27.	-9.706274E-2	-3.794938E+0
9/18/2019  16:36:27.	-9.625750E-2	-3.830048E+0
9/18/2019  16:36:27.	-9.625750E-2	-3.873371E+0
9/18/2019  16:36:27.	-9.947848E-2	-3.918787E+0
9/18/2019  16:36:27.	-9.867324E-2	-3.953092E+0
9/18/2019  16:36:27.	-9.996163E-2	-3.998830E+0
9/18/2019  16:36:27.	-1.015721E-1	-4.034745E+0
9/18/2019  16:36:27.	-1.026995E-1	-4.070177E+0
9/18/2019  16:36:27.	-1.026995E-1	-4.105930E+0
9/18/2019  16:36:27.	-1.036658E-1	-4.141523E+0
9/18/2019  16:36:27.	-1.052763E-1	-4.175505E+0
