Channel	X	Y
Start Time	9/18/2019  16:36:05.	9/18/2019  16:36:05.
Chart History (Refresh Period)	4.048474E-5	4.048474E-5

Time	X	Y
9/18/2019  16:36:05.	2.179174E-2	1.745668E+0
9/18/2019  16:36:05.	2.211384E-2	1.676577E+0
9/18/2019  16:36:05.	1.679921E-2	1.609097E+0
9/18/2019  16:36:05.	1.808760E-2	1.544516E+0
9/18/2019  16:36:05.	1.454451E-2	1.473654E+0
9/18/2019  16:36:05.	1.164563E-2	1.407302E+0
9/18/2019  16:36:05.	1.212877E-2	1.337406E+0
9/18/2019  16:36:05.	1.132353E-2	1.269121E+0
9/18/2019  16:36:05.	8.907785E-3	1.194233E+0
9/18/2019  16:36:05.	9.390933E-3	1.128202E+0
9/18/2019  16:36:05.	5.847845E-3	1.057662E+0
9/18/2019  16:36:05.	4.076301E-3	9.839017E-1
9/18/2019  16:36:05.	2.787906E-3	9.127177E-1
9/18/2019  16:36:05.	6.008895E-3	8.413727E-1
9/18/2019  16:36:05.	-3.493022E-3	7.687394E-1
9/18/2019  16:36:05.	-2.848824E-3	6.961060E-1
9/18/2019  16:36:05.	-4.620368E-3	6.305588E-1
9/18/2019  16:36:05.	-6.069813E-3	5.559929E-1
9/18/2019  16:36:05.	-4.459319E-3	4.888352E-1
9/18/2019  16:36:05.	-6.552961E-3	4.144303E-1
9/18/2019  16:36:05.	-5.103516E-3	3.451791E-1
9/18/2019  16:36:05.	-8.485555E-3	2.670701E-1
9/18/2019  16:36:05.	-8.163456E-3	1.981409E-1
9/18/2019  16:36:05.	-1.025710E-2	1.263128E-1
9/18/2019  16:36:05.	-1.460543E-2	4.949224E-2
9/18/2019  16:36:05.	-1.557173E-2	-2.378525E-2
9/18/2019  16:36:05.	-2.120846E-2	-9.577435E-2
9/18/2019  16:36:05.	-1.992006E-2	-1.692129E-1
9/18/2019  16:36:05.	-2.233581E-2	-2.362095E-1
9/18/2019  16:36:05.	-2.571784E-2	-3.040113E-1
9/18/2019  16:36:05.	-2.459050E-2	-3.784161E-1
9/18/2019  16:36:05.	-2.571784E-2	-4.536262E-1
9/18/2019  16:36:05.	-2.861673E-2	-5.207838E-1
9/18/2019  16:36:05.	-3.151562E-2	-6.027580E-1
9/18/2019  16:36:05.	-3.280402E-2	-6.718482E-1
9/18/2019  16:36:05.	-2.990513E-2	-7.409384E-1
9/18/2019  16:36:05.	-3.199877E-2	-8.121223E-1
9/18/2019  16:36:05.	-3.248192E-2	-8.825010E-1
9/18/2019  16:36:05.	-3.457556E-2	-9.551343E-1
9/18/2019  16:36:05.	-1.113961E-1	-1.027285E+0
9/18/2019  16:36:05.	-4.439958E-2	-1.096053E+0
9/18/2019  16:36:05.	-4.472168E-2	-1.165143E+0
9/18/2019  16:36:05.	-4.681532E-2	-1.231173E+0
9/18/2019  16:36:05.	-4.584902E-2	-1.306545E+0
9/18/2019  16:36:05.	-4.810372E-2	-1.372253E+0
9/18/2019  16:36:05.	-2.154341E-1	-1.440055E+0
9/18/2019  16:36:05.	-5.212995E-2	-1.517037E+0
9/18/2019  16:36:05.	-5.068051E-2	-1.583711E+0
9/18/2019  16:36:05.	-5.309625E-2	-1.653285E+0
9/18/2019  16:36:05.	-5.567304E-2	-1.714323E+0
9/18/2019  16:36:05.	-5.341835E-2	-1.781480E+0
9/18/2019  16:36:05.	-5.341835E-2	-1.850893E+0
9/18/2019  16:36:05.	-5.615619E-2	-1.914508E+0
9/18/2019  16:36:05.	-5.551199E-2	-1.984726E+0
