Channel	X	Y
Start Time	9/18/2019  16:19:25.	9/18/2019  16:19:25.
Chart History (Refresh Period)	1.229289E-5	1.229289E-5

Time	X	Y
9/18/2019  16:19:25.	1.422242E-2	1.545483E+0
9/18/2019  16:19:25.	1.518871E-2	1.566741E+0
9/18/2019  16:19:25.	1.438347E-2	1.587195E+0
9/18/2019  16:19:25.	1.261192E-2	1.604105E+0
9/18/2019  16:19:25.	1.245087E-2	1.626169E+0
9/18/2019  16:19:25.	1.325612E-2	1.646944E+0
9/18/2019  16:19:25.	1.663816E-2	1.669008E+0
9/18/2019  16:19:25.	1.679921E-2	1.689300E+0
9/18/2019  16:19:25.	1.808760E-2	1.710237E+0
9/18/2019  16:19:25.	1.857075E-2	1.731495E+0
9/18/2019  16:19:25.	1.776550E-2	1.752271E+0
9/18/2019  16:19:25.	1.760445E-2	1.769020E+0
9/18/2019  16:19:25.	2.050334E-2	1.788829E+0
9/18/2019  16:19:25.	1.889285E-2	1.809283E+0
9/18/2019  16:19:25.	1.776550E-2	1.830541E+0
9/18/2019  16:19:25.	1.679921E-2	1.849867E+0
9/18/2019  16:19:25.	1.985915E-2	1.871126E+0
9/18/2019  16:19:25.	2.275804E-2	1.892868E+0
9/18/2019  16:19:25.	2.018125E-2	1.914771E+0
9/18/2019  16:19:25.	2.195279E-2	1.932164E+0
9/18/2019  16:19:25.	2.243594E-2	1.951651E+0
9/18/2019  16:19:25.	2.050334E-2	1.972910E+0
9/18/2019  16:19:25.	2.050334E-2	1.992719E+0
9/18/2019  16:19:25.	2.243594E-2	2.011723E+0
9/18/2019  16:19:25.	2.565693E-2	2.032337E+0
9/18/2019  16:19:25.	2.340223E-2	2.053918E+0
9/18/2019  16:19:25.	2.259699E-2	2.073083E+0
9/18/2019  16:19:25.	2.388538E-2	2.092248E+0
9/18/2019  16:19:25.	2.678427E-2	2.110930E+0
9/18/2019  16:19:25.	2.839477E-2	2.130900E+0
9/18/2019  16:19:25.	2.452958E-2	2.151193E+0
9/18/2019  16:19:25.	2.646217E-2	2.170036E+0
9/18/2019  16:19:25.	2.372433E-2	2.189362E+0
9/18/2019  16:19:25.	2.614007E-2	2.207399E+0
9/18/2019  16:19:25.	2.694532E-2	2.228658E+0
9/18/2019  16:19:25.	2.984421E-2	2.247340E+0
9/18/2019  16:19:25.	2.903896E-2	2.265216E+0
9/18/2019  16:19:25.	2.452958E-2	2.283576E+0
9/18/2019  16:19:25.	2.630112E-2	2.308861E+0
9/18/2019  16:19:25.	2.775057E-2	2.325771E+0
9/18/2019  16:19:25.	2.984421E-2	2.344937E+0
9/18/2019  16:19:25.	3.258205E-2	2.362652E+0
9/18/2019  16:19:25.	3.322625E-2	2.384233E+0
9/18/2019  16:19:25.	3.322625E-2	2.401465E+0
9/18/2019  16:19:25.	3.258205E-2	2.420791E+0
9/18/2019  16:19:25.	3.081051E-2	2.437058E+0
9/18/2019  16:19:25.	3.097156E-2	2.456545E+0
9/18/2019  16:19:25.	3.306520E-2	2.474260E+0
9/18/2019  16:19:25.	3.741354E-2	2.493103E+0
9/18/2019  16:19:25.	3.515884E-2	2.510336E+0
9/18/2019  16:19:25.	3.387045E-2	2.534493E+0
9/18/2019  16:19:25.	3.322625E-2	2.551404E+0
9/18/2019  16:19:25.	3.370940E-2	2.571696E+0
9/18/2019  16:19:25.	3.676934E-2	2.590217E+0
9/18/2019  16:19:25.	3.789668E-2	2.607610E+0
9/18/2019  16:19:25.	4.063452E-2	2.626937E+0
9/18/2019  16:19:25.	3.757458E-2	2.644330E+0
9/18/2019  16:19:25.	3.628619E-2	2.661885E+0
9/18/2019  16:19:25.	3.789668E-2	2.679439E+0
9/18/2019  16:19:25.	3.837983E-2	2.699410E+0
9/18/2019  16:19:25.	3.918508E-2	2.718091E+0
9/18/2019  16:19:25.	3.676934E-2	2.734841E+0
9/18/2019  16:19:25.	3.918508E-2	2.751590E+0
9/18/2019  16:19:25.	4.047347E-2	2.769950E+0
9/18/2019  16:19:25.	4.256712E-2	2.785733E+0
9/18/2019  16:19:25.	4.305027E-2	2.806186E+0
9/18/2019  16:19:25.	4.369446E-2	2.824063E+0
9/18/2019  16:19:25.	4.192292E-2	2.840813E+0
9/18/2019  16:19:25.	4.192292E-2	2.855790E+0
9/18/2019  16:19:25.	4.208397E-2	2.873345E+0
9/18/2019  16:19:25.	4.272817E-2	2.893637E+0
9/18/2019  16:19:25.	4.369446E-2	2.910709E+0
9/18/2019  16:19:25.	4.224502E-2	2.925526E+0
9/18/2019  16:19:25.	4.578811E-2	2.942275E+0
9/18/2019  16:19:25.	4.594916E-2	2.963695E+0
9/18/2019  16:19:25.	4.611021E-2	2.978189E+0
9/18/2019  16:19:25.	4.675440E-2	2.995583E+0
9/18/2019  16:19:25.	4.675440E-2	3.011205E+0
9/18/2019  16:19:25.	4.723755E-2	3.030853E+0
9/18/2019  16:19:25.	4.675440E-2	3.047441E+0
9/18/2019  16:19:25.	4.772070E-2	3.061775E+0
9/18/2019  16:19:25.	4.917014E-2	3.077880E+0
9/18/2019  16:19:25.	4.949224E-2	3.098012E+0
9/18/2019  16:19:25.	4.900909E-2	3.114600E+0
9/18/2019  16:19:25.	4.820385E-2	3.130866E+0
9/18/2019  16:19:25.	4.739860E-2	3.147777E+0
9/18/2019  16:19:25.	4.772070E-2	3.164687E+0
9/18/2019  16:19:25.	4.723755E-2	3.179987E+0
9/18/2019  16:19:25.	4.965329E-2	3.197381E+0
9/18/2019  16:19:25.	5.319638E-2	3.212197E+0
9/18/2019  16:19:25.	5.335743E-2	3.230074E+0
9/18/2019  16:19:25.	5.206903E-2	3.245052E+0
9/18/2019  16:19:25.	4.675440E-2	3.259547E+0
9/18/2019  16:19:25.	5.045854E-2	3.278067E+0
9/18/2019  16:19:25.	5.432373E-2	3.291596E+0
9/18/2019  16:19:25.	5.464583E-2	3.307218E+0
9/18/2019  16:19:25.	5.271323E-2	3.325900E+0
9/18/2019  16:19:25.	5.335743E-2	3.339589E+0
9/18/2019  16:19:25.	5.367953E-2	3.352151E+0
9/18/2019  16:19:25.	5.400163E-2	3.370672E+0
9/18/2019  16:19:25.	5.319638E-2	3.385811E+0
9/18/2019  16:19:25.	5.448478E-2	3.400628E+0
9/18/2019  16:19:25.	5.625632E-2	3.416411E+0
9/18/2019  16:19:25.	5.609527E-2	3.430423E+0
9/18/2019  16:19:25.	5.561212E-2	3.447333E+0
9/18/2019  16:19:25.	5.351848E-2	3.461667E+0
9/18/2019  16:19:25.	5.384058E-2	3.475839E+0
9/18/2019  16:19:25.	6.157095E-2	3.490817E+0
9/18/2019  16:19:25.	1.728236E-2	3.504668E+0
9/18/2019  16:19:25.	5.303533E-2	3.518518E+0
9/18/2019  16:19:25.	5.754472E-2	3.534301E+0
9/18/2019  16:19:25.	5.915521E-2	3.549440E+0
9/18/2019  16:19:25.	6.092675E-2	3.566673E+0
9/18/2019  16:19:25.	5.706157E-2	3.579235E+0
9/18/2019  16:19:25.	5.899416E-2	3.592441E+0
9/18/2019  16:19:25.	5.625632E-2	3.609352E+0
9/18/2019  16:19:25.	5.754472E-2	3.622075E+0
9/18/2019  16:19:25.	6.044361E-2	3.636086E+0
9/18/2019  16:19:25.	6.173200E-2	3.651225E+0
9/18/2019  16:19:25.	6.028256E-2	3.665237E+0
9/18/2019  16:19:25.	6.076570E-2	3.681342E+0
9/18/2019  16:19:25.	5.625632E-2	3.692455E+0
9/18/2019  16:19:25.	5.834996E-2	3.707110E+0
9/18/2019  16:19:25.	6.285935E-2	3.720317E+0
9/18/2019  16:19:25.	6.044361E-2	3.736261E+0
9/18/2019  16:19:25.	6.076570E-2	3.749145E+0
9/18/2019  16:19:25.	6.140990E-2	3.759291E+0
9/18/2019  16:19:25.	6.060465E-2	3.775719E+0
9/18/2019  16:19:25.	6.173200E-2	3.786187E+0
9/18/2019  16:19:25.	6.414774E-2	3.800843E+0
9/18/2019  16:19:25.	6.446984E-2	3.813566E+0
9/18/2019  16:19:25.	6.302040E-2	3.827417E+0
9/18/2019  16:19:25.	-1.113961E-1	3.838207E+0
9/18/2019  16:19:25.	4.288922E-2	3.853668E+0
9/18/2019  16:19:25.	6.108780E-2	3.864137E+0
9/18/2019  16:19:25.	6.382564E-2	3.878793E+0
9/18/2019  16:19:25.	6.366459E-2	3.889744E+0
9/18/2019  16:19:25.	6.479194E-2	3.904239E+0
9/18/2019  16:19:25.	6.334250E-2	3.914224E+0
9/18/2019  16:19:25.	6.253725E-2	3.929524E+0
9/18/2019  16:19:25.	6.430879E-2	3.939509E+0
9/18/2019  16:19:25.	6.769083E-2	3.952233E+0
9/18/2019  16:19:25.	6.591929E-2	3.964634E+0
9/18/2019  16:19:25.	6.624139E-2	3.977196E+0
9/18/2019  16:19:25.	6.704663E-2	3.986537E+0
9/18/2019  16:19:25.	6.785188E-2	4.001676E+0
9/18/2019  16:19:25.	6.398669E-2	4.011500E+0
9/18/2019  16:19:25.	6.495299E-2	4.024062E+0
9/18/2019  16:19:25.	6.575824E-2	4.035336E+0
9/18/2019  16:19:25.	6.946237E-2	4.047093E+0
9/18/2019  16:19:25.	6.656348E-2	4.057883E+0
9/18/2019  16:19:25.	6.736873E-2	4.071090E+0
9/18/2019  16:19:25.	6.930132E-2	4.081719E+0
9/18/2019  16:19:25.	6.801293E-2	4.091704E+0
9/18/2019  16:19:25.	6.752978E-2	4.102173E+0
9/18/2019  16:19:25.	6.801293E-2	4.115379E+0
9/18/2019  16:19:25.	6.962342E-2	4.126170E+0
9/18/2019  16:19:25.	6.946237E-2	4.135833E+0
9/18/2019  16:19:25.	7.381071E-2	4.145979E+0
9/18/2019  16:19:25.	6.914028E-2	4.158542E+0
9/18/2019  16:19:25.	6.881818E-2	4.166916E+0
9/18/2019  16:19:25.	6.624139E-2	4.180123E+0
9/18/2019  16:19:25.	6.881818E-2	4.189625E+0
9/18/2019  16:19:25.	7.026762E-2	4.199127E+0
9/18/2019  16:19:25.	7.139497E-2	4.208629E+0
9/18/2019  16:19:25.	7.429386E-2	4.219259E+0
9/18/2019  16:19:25.	7.316651E-2	4.230693E+0
9/18/2019  16:19:25.	7.091182E-2	4.237619E+0
9/18/2019  16:19:25.	7.220021E-2	4.249215E+0
9/18/2019  16:19:25.	7.042867E-2	4.258878E+0
9/18/2019  16:19:25.	7.413281E-2	4.268219E+0
9/18/2019  16:19:25.	7.381071E-2	4.279332E+0
9/18/2019  16:19:25.	7.091182E-2	4.287384E+0
