Channel	X	Y
Start Time	9/18/2019  16:23:59.	9/18/2019  16:23:59.
Chart History (Refresh Period)	1.229289E-5	1.229289E-5

Time	X	Y
9/18/2019  16:23:59.	7.284441E-2	3.519162E+0
9/18/2019  16:23:59.	7.171707E-2	3.500158E+0
9/18/2019  16:23:59.	7.026762E-2	3.487596E+0
9/18/2019  16:23:59.	6.930132E-2	3.471008E+0
9/18/2019  16:23:59.	7.058972E-2	3.457318E+0
9/18/2019  16:23:59.	6.769083E-2	3.443468E+0
9/18/2019  16:23:59.	6.978447E-2	3.425913E+0
9/18/2019  16:23:59.	6.897923E-2	3.412224E+0
9/18/2019  16:23:59.	6.591929E-2	3.398051E+0
9/18/2019  16:23:59.	6.752978E-2	3.378725E+0
9/18/2019  16:23:59.	6.608034E-2	3.365680E+0
9/18/2019  16:23:59.	6.881818E-2	3.352635E+0
9/18/2019  16:23:59.	6.672453E-2	3.333952E+0
9/18/2019  16:23:59.	6.559719E-2	3.320102E+0
9/18/2019  16:23:59.	6.157095E-2	3.304802E+0
9/18/2019  16:23:59.	6.076570E-2	3.287570E+0
9/18/2019  16:23:59.	6.527509E-2	3.272592E+0
9/18/2019  16:23:59.	6.350354E-2	3.257453E+0
9/18/2019  16:23:59.	6.076570E-2	3.240703E+0
9/18/2019  16:23:59.	6.285935E-2	3.224437E+0
9/18/2019  16:23:59.	5.947731E-2	3.209137E+0
9/18/2019  16:23:59.	5.931626E-2	3.191583E+0
9/18/2019  16:23:59.	6.189305E-2	3.173867E+0
9/18/2019  16:23:59.	6.012151E-2	3.157762E+0
9/18/2019  16:23:59.	5.996046E-2	3.141979E+0
9/18/2019  16:23:59.	5.915521E-2	3.123297E+0
9/18/2019  16:23:59.	5.690052E-2	3.106547E+0
9/18/2019  16:23:59.	5.158589E-2	3.091409E+0
9/18/2019  16:23:59.	5.818891E-2	3.075787E+0
9/18/2019  16:23:59.	5.883311E-2	3.057588E+0
9/18/2019  16:23:59.	5.690052E-2	3.041322E+0
9/18/2019  16:23:59.	5.432373E-2	3.024894E+0
9/18/2019  16:23:59.	5.577317E-2	3.009433E+0
9/18/2019  16:23:59.	5.673947E-2	2.989302E+0
9/18/2019  16:23:59.	5.593422E-2	2.974485E+0
9/18/2019  16:23:59.	5.883311E-2	2.958380E+0
9/18/2019  16:23:59.	5.480687E-2	2.942436E+0
9/18/2019  16:23:59.	5.045854E-2	2.921016E+0
9/18/2019  16:23:59.	6.092675E-2	2.903623E+0
9/18/2019  16:23:59.	5.158589E-2	2.887034E+0
9/18/2019  16:23:59.	5.190798E-2	2.871251E+0
9/18/2019  16:23:59.	5.303533E-2	2.851764E+0
9/18/2019  16:23:59.	5.303533E-2	2.834209E+0
9/18/2019  16:23:59.	5.174694E-2	2.818748E+0
9/18/2019  16:23:59.	4.981434E-2	2.800550E+0
9/18/2019  16:23:59.	4.965329E-2	2.785089E+0
9/18/2019  16:23:59.	4.917014E-2	2.767051E+0
9/18/2019  16:23:59.	4.997539E-2	2.745953E+0
9/18/2019  16:23:59.	4.933119E-2	2.728238E+0
9/18/2019  16:23:59.	4.917014E-2	2.711649E+0
9/18/2019  16:23:59.	4.804280E-2	2.694417E+0
9/18/2019  16:23:59.	4.739860E-2	2.676862E+0
9/18/2019  16:23:59.	4.643230E-2	2.657053E+0
9/18/2019  16:23:59.	4.353341E-2	2.639015E+0
9/18/2019  16:23:59.	4.160082E-2	2.617112E+0
9/18/2019  16:23:59.	4.063452E-2	2.600685E+0
9/18/2019  16:23:59.	4.433866E-2	2.580876E+0
9/18/2019  16:23:59.	4.417761E-2	2.561550E+0
9/18/2019  16:23:59.	4.417761E-2	2.544962E+0
9/18/2019  16:23:59.	4.288922E-2	2.527085E+0
9/18/2019  16:23:59.	3.741354E-2	2.509853E+0
9/18/2019  16:23:59.	3.709144E-2	2.490526E+0
9/18/2019  16:23:59.	3.966823E-2	2.468624E+0
9/18/2019  16:23:59.	4.256712E-2	2.450425E+0
9/18/2019  16:23:59.	4.208397E-2	2.433675E+0
9/18/2019  16:23:59.	3.660829E-2	2.414510E+0
9/18/2019  16:23:59.	3.548094E-2	2.395023E+0
9/18/2019  16:23:59.	3.596409E-2	2.376825E+0
9/18/2019  16:23:59.	3.370940E-2	2.358143E+0
9/18/2019  16:23:59.	3.725249E-2	2.339300E+0
9/18/2019  16:23:59.	3.757458E-2	2.322228E+0
9/18/2019  16:23:59.	3.387045E-2	2.302741E+0
9/18/2019  16:23:59.	3.531989E-2	2.282932E+0
9/18/2019  16:23:59.	3.338730E-2	2.264733E+0
9/18/2019  16:23:59.	2.678427E-2	2.244280E+0
9/18/2019  16:23:59.	3.451465E-2	2.226403E+0
9/18/2019  16:23:59.	3.354835E-2	2.206594E+0
9/18/2019  16:23:59.	3.177680E-2	2.187107E+0
9/18/2019  16:23:59.	3.177680E-2	2.166815E+0
9/18/2019  16:23:59.	3.145471E-2	2.160050E+0
9/18/2019  16:23:59.	2.356328E-2	2.129773E+0
9/18/2019  16:23:59.	3.193785E-2	2.109964E+0
9/18/2019  16:23:59.	3.515884E-2	2.090154E+0
9/18/2019  16:23:59.	3.322625E-2	2.068735E+0
9/18/2019  16:23:59.	2.952211E-2	2.048120E+0
9/18/2019  16:23:59.	3.612514E-2	2.028311E+0
9/18/2019  16:23:59.	2.903896E-2	2.007375E+0
9/18/2019  16:23:59.	3.209890E-2	1.987726E+0
9/18/2019  16:23:59.	3.290415E-2	1.966790E+0
9/18/2019  16:23:59.	2.903896E-2	1.946175E+0
9/18/2019  16:23:59.	2.984421E-2	1.925722E+0
9/18/2019  16:23:59.	2.775057E-2	1.906557E+0
9/18/2019  16:23:59.	2.662322E-2	1.885782E+0
9/18/2019  16:23:59.	2.775057E-2	1.864523E+0
9/18/2019  16:23:59.	2.694532E-2	1.851961E+0
9/18/2019  16:23:59.	2.308014E-2	1.829253E+0
9/18/2019  16:23:59.	2.581798E-2	1.808638E+0
9/18/2019  16:23:59.	2.758952E-2	1.788185E+0
9/18/2019  16:23:59.	2.565693E-2	1.767571E+0
9/18/2019  16:23:59.	2.420748E-2	1.745990E+0
9/18/2019  16:23:59.	2.211384E-2	1.726020E+0
9/18/2019  16:23:59.	1.969810E-2	1.703473E+0
9/18/2019  16:23:59.	2.082544E-2	1.682858E+0
9/18/2019  16:23:59.	2.291909E-2	1.666753E+0
9/18/2019  16:23:59.	2.614007E-2	1.646622E+0
9/18/2019  16:23:59.	2.372433E-2	1.625524E+0
9/18/2019  16:23:59.	2.114754E-2	1.604266E+0
9/18/2019  16:23:59.	1.760445E-2	1.581880E+0
9/18/2019  16:23:59.	1.857075E-2	1.560299E+0
9/18/2019  16:23:59.	1.663816E-2	1.544355E+0
9/18/2019  16:23:59.	2.050334E-2	1.522130E+0
9/18/2019  16:23:59.	2.163069E-2	1.500872E+0
9/18/2019  16:23:59.	2.034229E-2	1.481224E+0
9/18/2019  16:23:59.	1.760445E-2	1.458355E+0
9/18/2019  16:23:59.	1.486661E-2	1.435646E+0
9/18/2019  16:23:59.	1.293402E-2	1.418414E+0
9/18/2019  16:23:59.	1.647711E-2	1.395062E+0
9/18/2019  16:23:59.	1.696026E-2	1.372354E+0
9/18/2019  16:23:59.	1.776550E-2	1.353672E+0
9/18/2019  16:23:59.	1.502766E-2	1.330803E+0
9/18/2019  16:23:59.	1.309507E-2	1.309544E+0
9/18/2019  16:23:59.	1.660560E-3	1.285709E+0
9/18/2019  16:23:59.	1.245087E-2	1.268477E+0
9/18/2019  16:23:59.	1.309507E-2	1.247218E+0
