Channel	X	Y
Start Time	9/18/2019  16:30:15.	9/18/2019  16:30:15.
Chart History (Refresh Period)	3.829480E-5	3.829480E-5

Time	X	Y
9/18/2019  16:30:15.	2.581798E-2	4.728189E+0
9/18/2019  16:30:15.	1.048933E-1	4.734148E+0
9/18/2019  16:30:15.	1.015112E-1	4.740590E+0
9/18/2019  16:30:15.	1.048933E-1	4.746066E+0
9/18/2019  16:30:15.	1.056985E-1	4.748643E+0
9/18/2019  16:30:15.	1.061816E-1	4.750253E+0
9/18/2019  16:30:15.	1.037659E-1	4.752991E+0
9/18/2019  16:30:15.	6.914028E-2	4.754118E+0
9/18/2019  16:30:15.	1.052154E-1	4.753635E+0
9/18/2019  16:30:15.	1.019944E-1	4.752508E+0
9/18/2019  16:30:15.	1.034438E-1	4.749931E+0
9/18/2019  16:30:15.	1.036049E-1	4.746871E+0
9/18/2019  16:30:15.	1.021554E-1	4.743489E+0
9/18/2019  16:30:15.	1.073090E-1	4.737530E+0
9/18/2019  16:30:15.	9.877337E-2	4.732054E+0
9/18/2019  16:30:15.	1.031217E-1	4.724807E+0
9/18/2019  16:30:15.	1.015112E-1	4.716271E+0
9/18/2019  16:30:15.	9.829022E-2	4.708701E+0
9/18/2019  16:30:15.	1.034438E-1	4.697588E+0
9/18/2019  16:30:15.	9.877337E-2	4.689214E+0
9/18/2019  16:30:15.	9.861232E-2	4.676168E+0
9/18/2019  16:30:15.	1.010281E-1	4.662317E+0
9/18/2019  16:30:15.	9.973967E-2	4.647823E+0
9/18/2019  16:30:15.	9.651868E-2	4.634455E+0
9/18/2019  16:30:15.	1.002228E-1	4.619155E+0
9/18/2019  16:30:15.	1.003839E-1	4.601278E+0
9/18/2019  16:30:15.	9.700183E-2	4.585173E+0
9/18/2019  16:30:15.	9.716288E-2	4.566651E+0
9/18/2019  16:30:15.	9.700183E-2	4.545070E+0
9/18/2019  16:30:15.	9.426399E-2	4.525905E+0
9/18/2019  16:30:15.	9.829022E-2	4.504001E+0
9/18/2019  16:30:15.	9.297559E-2	4.480326E+0
9/18/2019  16:30:15.	9.168720E-2	4.459712E+0
9/18/2019  16:30:15.	9.410294E-2	4.435715E+0
9/18/2019  16:30:15.	9.378084E-2	4.409463E+0
9/18/2019  16:30:15.	9.168720E-2	4.383211E+0
9/18/2019  16:30:15.	9.104300E-2	4.357926E+0
9/18/2019  16:30:15.	8.927146E-2	4.326520E+0
9/18/2019  16:30:15.	8.605047E-2	4.300269E+0
9/18/2019  16:30:15.	8.862726E-2	4.270152E+0
9/18/2019  16:30:15.	8.927146E-2	4.238424E+0
9/18/2019  16:30:15.	8.540627E-2	4.209434E+0
9/18/2019  16:30:15.	8.653362E-2	4.174647E+0
9/18/2019  16:30:15.	8.733886E-2	4.141953E+0
9/18/2019  16:30:15.	8.524522E-2	4.108615E+0
9/18/2019  16:30:15.	8.460102E-2	4.074150E+0
9/18/2019  16:30:15.	8.234633E-2	4.040490E+0
9/18/2019  16:30:15.	8.218528E-2	4.001676E+0
9/18/2019  16:30:15.	8.025269E-2	3.964312E+0
9/18/2019  16:30:15.	7.526015E-2	3.925820E+0
9/18/2019  16:30:15.	8.009164E-2	3.887167E+0
9/18/2019  16:30:15.	7.687065E-2	3.848676E+0
9/18/2019  16:30:15.	7.461596E-2	3.806802E+0
9/18/2019  16:30:15.	7.268336E-2	3.764606E+0
9/18/2019  16:30:15.	7.413281E-2	3.722894E+0
9/18/2019  16:30:15.	7.187812E-2	3.680698E+0
9/18/2019  16:30:15.	7.042867E-2	3.636408E+0
9/18/2019  16:30:15.	6.962342E-2	3.591153E+0
9/18/2019  16:30:15.	6.801293E-2	3.546219E+0
9/18/2019  16:30:15.	6.897923E-2	3.497420E+0
