Channel	X	Y
Start Time	9/18/2019  16:30:37.	9/18/2019  16:30:37.
Chart History (Refresh Period)	3.829480E-5	3.829480E-5

Time	X	Y
9/18/2019  16:30:37.	-6.098767E-2	-2.040610E+0
9/18/2019  16:30:37.	-5.776668E-2	-2.103581E+0
9/18/2019  16:30:37.	-6.066557E-2	-2.158821E+0
9/18/2019  16:30:37.	-6.404761E-2	-2.222275E+0
9/18/2019  16:30:37.	-6.453076E-2	-2.284762E+0
9/18/2019  16:30:37.	-6.259816E-2	-2.342257E+0
9/18/2019  16:30:37.	-6.598020E-2	-2.398142E+0
9/18/2019  16:30:37.	-6.839594E-2	-2.455475E+0
9/18/2019  16:30:37.	-7.016749E-2	-2.521989E+0
9/18/2019  16:30:37.	-6.936224E-2	-2.578840E+0
9/18/2019  16:30:37.	-7.322743E-2	-2.635852E+0
9/18/2019  16:30:37.	-7.048959E-2	-2.684973E+0
9/18/2019  16:30:37.	-7.210008E-2	-2.742951E+0
9/18/2019  16:30:37.	-7.596527E-2	-2.802056E+0
9/18/2019  16:30:37.	-7.467687E-2	-2.859552E+0
9/18/2019  16:30:37.	-7.918626E-2	-2.908994E+0
9/18/2019  16:30:37.	-7.886416E-2	-2.966973E+0
9/18/2019  16:30:37.	-8.063570E-2	-3.018348E+0
9/18/2019  16:30:37.	-8.240724E-2	-3.068757E+0
9/18/2019  16:30:37.	-8.546718E-2	-3.120132E+0
9/18/2019  16:30:37.	-8.659453E-2	-3.171830E+0
9/18/2019  16:30:37.	-8.836607E-2	-3.222078E+0
9/18/2019  16:30:37.	-8.707768E-2	-3.272970E+0
9/18/2019  16:30:37.	-9.045972E-2	-3.315165E+0
9/18/2019  16:30:37.	-8.852712E-2	-3.367829E+0
9/18/2019  16:30:37.	-8.997657E-2	-3.419043E+0
9/18/2019  16:30:37.	-8.933237E-2	-3.463494E+0
9/18/2019  16:30:37.	-9.400280E-2	-3.505045E+0
9/18/2019  16:30:37.	-9.448595E-2	-3.556420E+0
9/18/2019  16:30:37.	-9.464700E-2	-3.602159E+0
9/18/2019  16:30:37.	-9.867324E-2	-3.645965E+0
9/18/2019  16:30:37.	-9.899534E-2	-3.690094E+0
9/18/2019  16:30:37.	-1.007669E-1	-3.725525E+0
9/18/2019  16:30:37.	-1.038268E-1	-3.769653E+0
9/18/2019  16:30:37.	-1.015721E-1	-3.814426E+0
9/18/2019  16:30:37.	-1.055984E-1	-3.848408E+0
9/18/2019  16:30:37.	-1.039879E-1	-3.891409E+0
9/18/2019  16:30:37.	-1.072089E-1	-3.930222E+0
9/18/2019  16:30:37.	-1.067257E-1	-3.964204E+0
9/18/2019  16:30:37.	-1.075310E-1	-3.998830E+0
9/18/2019  16:30:37.	-1.075310E-1	-4.042798E+0
9/18/2019  16:30:37.	-1.101077E-1	-4.072753E+0
9/18/2019  16:30:37.	-1.109130E-1	-4.107380E+0
9/18/2019  16:30:37.	-1.125235E-1	-4.143617E+0
9/18/2019  16:30:37.	-1.134898E-1	-4.170029E+0
9/18/2019  16:30:37.	-1.165497E-1	-4.206588E+0
9/18/2019  16:30:37.	-1.118793E-1	-4.233323E+0
9/18/2019  16:30:37.	-1.155834E-1	-4.269077E+0
9/18/2019  16:30:37.	-1.186434E-1	-4.296939E+0
9/18/2019  16:30:37.	-1.173550E-1	-4.324318E+0
9/18/2019  16:30:37.	-1.189655E-1	-4.351536E+0
9/18/2019  16:30:37.	-1.200928E-1	-4.379237E+0
9/18/2019  16:30:37.	-1.204149E-1	-4.398241E+0
9/18/2019  16:30:37.	-1.184823E-1	-4.425137E+0
9/18/2019  16:30:37.	-1.208981E-1	-4.451066E+0
9/18/2019  16:30:37.	-1.217033E-1	-4.468943E+0
9/18/2019  16:30:37.	-1.215423E-1	-4.489397E+0
9/18/2019  16:30:37.	-1.220254E-1	-4.517098E+0
9/18/2019  16:30:37.	-1.221865E-1	-4.533687E+0
9/18/2019  16:30:37.	-1.226696E-1	-4.554463E+0
9/18/2019  16:30:37.	-1.249243E-1	-4.571695E+0
9/18/2019  16:30:37.	-1.237969E-1	-4.581197E+0
9/18/2019  16:30:37.	-1.217033E-1	-4.597303E+0
9/18/2019  16:30:37.	-1.239580E-1	-4.617918E+0
9/18/2019  16:30:37.	-1.244411E-1	-4.624843E+0
9/18/2019  16:30:37.	-1.217033E-1	-4.636117E+0
9/18/2019  16:30:37.	-1.242801E-1	-4.655282E+0
9/18/2019  16:30:37.	-1.242801E-1	-4.662046E+0
9/18/2019  16:30:37.	-1.228307E-1	-4.674125E+0
9/18/2019  16:30:37.	-1.255685E-1	-4.682500E+0
9/18/2019  16:30:37.	-1.210591E-1	-4.692808E+0
9/18/2019  16:30:37.	-1.231528E-1	-4.702310E+0
9/18/2019  16:30:37.	-1.268569E-1	-4.702954E+0
9/18/2019  16:30:37.	-1.258906E-1	-4.709718E+0
9/18/2019  16:30:37.	-1.246022E-1	-4.712617E+0
9/18/2019  16:30:37.	-1.231528E-1	-4.710846E+0
9/18/2019  16:30:37.	-1.252464E-1	-4.720187E+0
9/18/2019  16:30:37.	-1.228307E-1	-4.721314E+0
9/18/2019  16:30:37.	-1.268569E-1	-4.720348E+0
9/18/2019  16:30:37.	-1.189655E-1	-4.720509E+0
9/18/2019  16:30:37.	-1.239580E-1	-4.722119E+0
9/18/2019  16:30:37.	-1.263737E-1	-4.712778E+0
9/18/2019  16:30:37.	-1.215423E-1	-4.712939E+0
9/18/2019  16:30:37.	-1.239580E-1	-4.703920E+0
9/18/2019  16:30:37.	-1.246022E-1	-4.703437E+0
9/18/2019  16:30:37.	-1.226696E-1	-4.695868E+0
9/18/2019  16:30:37.	-1.250853E-1	-4.685882E+0
9/18/2019  16:30:37.	-1.215423E-1	-4.677507E+0
9/18/2019  16:30:37.	-1.254074E-1	-4.667683E+0
9/18/2019  16:30:37.	-1.202539E-1	-4.658825E+0
9/18/2019  16:30:37.	-1.210591E-1	-4.638694E+0
9/18/2019  16:30:37.	-1.202539E-1	-4.631929E+0
9/18/2019  16:30:37.	-1.183213E-1	-4.623716E+0
9/18/2019  16:30:37.	-1.213812E-1	-4.602618E+0
9/18/2019  16:30:37.	-1.213812E-1	-4.586351E+0
9/18/2019  16:30:37.	-1.197707E-1	-4.576205E+0
9/18/2019  16:30:37.	-1.207370E-1	-4.558650E+0
9/18/2019  16:30:37.	-1.151003E-1	-4.531915E+0
9/18/2019  16:30:37.	-1.200928E-1	-4.512267E+0
9/18/2019  16:30:37.	-1.189655E-1	-4.495517E+0
9/18/2019  16:30:37.	-1.189655E-1	-4.477157E+0
9/18/2019  16:30:37.	-1.170329E-1	-4.450422E+0
9/18/2019  16:30:37.	-1.181602E-1	-4.432062E+0
9/18/2019  16:30:37.	-1.258906E-1	-4.405972E+0
9/18/2019  16:30:37.	-1.139729E-1	-4.377787E+0
9/18/2019  16:30:37.	-1.183213E-1	-4.348959E+0
9/18/2019  16:30:37.	-1.142950E-1	-4.330921E+0
9/18/2019  16:30:37.	-1.151003E-1	-4.295811E+0
9/18/2019  16:30:37.	-1.179992E-1	-4.269721E+0
9/18/2019  16:30:37.	-1.125235E-1	-4.243469E+0
9/18/2019  16:30:37.	-1.133287E-1	-4.216412E+0
9/18/2019  16:30:37.	-1.101077E-1	-4.178726E+0
9/18/2019  16:30:37.	-1.138119E-1	-4.151186E+0
9/18/2019  16:30:37.	-1.118793E-1	-4.118009E+0
9/18/2019  16:30:37.	-1.130066E-1	-4.081611E+0
9/18/2019  16:30:37.	-1.117182E-1	-4.045858E+0
9/18/2019  16:30:37.	-1.086583E-1	-4.008494E+0
9/18/2019  16:30:37.	-1.094635E-1	-3.974995E+0
9/18/2019  16:30:37.	-1.109130E-1	-3.938436E+0
9/18/2019  16:30:37.	-1.046321E-1	-3.896401E+0
9/18/2019  16:30:37.	-1.099467E-1	-3.860487E+0
9/18/2019  16:30:37.	-1.018942E-1	-3.815553E+0
9/18/2019  16:30:37.	-1.025384E-1	-3.780283E+0
9/18/2019  16:30:37.	-1.049542E-1	-3.736960E+0
9/18/2019  16:30:37.	-1.020553E-1	-3.692509E+0
9/18/2019  16:30:37.	-9.867324E-2	-3.658366E+0
9/18/2019  16:30:37.	-9.802904E-2	-3.605219E+0
9/18/2019  16:30:37.	-9.883429E-2	-3.561252E+0
9/18/2019  16:30:37.	-9.754589E-2	-3.517768E+0
9/18/2019  16:30:37.	-9.770694E-2	-3.473801E+0
9/18/2019  16:30:37.	-9.496910E-2	-3.423392E+0
9/18/2019  16:30:37.	-9.303651E-2	-3.380391E+0
9/18/2019  16:30:37.	-9.609645E-2	-3.328210E+0
9/18/2019  16:30:37.	-8.981552E-2	-3.277801E+0
9/18/2019  16:30:37.	-9.271441E-2	-3.225138E+0
9/18/2019  16:30:37.	-9.062077E-2	-3.183264E+0
9/18/2019  16:30:37.	-8.949342E-2	-3.131245E+0
9/18/2019  16:30:37.	-8.804398E-2	-3.081319E+0
9/18/2019  16:30:37.	-8.643348E-2	-3.022052E+0
9/18/2019  16:30:37.	-8.498404E-2	-2.971482E+0
9/18/2019  16:30:37.	-8.127990E-2	-2.913826E+0
9/18/2019  16:30:37.	-8.305144E-2	-2.865188E+0
