Channel	X	Y
Start Time	9/18/2019  16:35:20.	9/18/2019  16:35:20.
Chart History (Refresh Period)	4.048474E-5	4.048474E-5

Time	X	Y
9/18/2019  16:35:20.	3.596409E-2	2.422080E+0
9/18/2019  16:35:20.	3.354835E-2	2.356371E+0
9/18/2019  16:35:20.	3.177680E-2	2.296138E+0
9/18/2019  16:35:20.	3.258205E-2	2.227531E+0
9/18/2019  16:35:20.	3.258205E-2	2.165848E+0
9/18/2019  16:35:20.	3.129366E-2	2.099334E+0
9/18/2019  16:35:20.	2.662322E-2	2.036203E+0
9/18/2019  16:35:20.	2.694532E-2	1.970816E+0
9/18/2019  16:35:20.	2.243594E-2	1.905591E+0
9/18/2019  16:35:20.	2.340223E-2	1.839238E+0
9/18/2019  16:35:20.	2.018125E-2	1.771114E+0
9/18/2019  16:35:20.	1.776550E-2	1.702667E+0
9/18/2019  16:35:20.	1.985915E-2	1.635026E+0
9/18/2019  16:35:20.	1.792655E-2	1.570284E+0
9/18/2019  16:35:20.	1.390032E-2	1.501677E+0
9/18/2019  16:35:20.	2.742847E-2	1.428238E+0
9/18/2019  16:35:20.	1.502766E-2	1.363657E+0
9/18/2019  16:35:20.	1.277297E-2	1.292151E+0
9/18/2019  16:35:20.	9.551982E-3	1.224349E+0
9/18/2019  16:35:20.	8.424636E-3	1.154453E+0
9/18/2019  16:35:20.	6.975191E-3	1.086651E+0
9/18/2019  16:35:20.	5.847845E-3	1.010636E+0
9/18/2019  16:35:20.	4.559450E-3	9.405793E-1
9/18/2019  16:35:20.	-4.781418E-3	8.716501E-1
9/18/2019  16:35:20.	-3.654072E-3	7.990167E-1
9/18/2019  16:35:20.	-1.882528E-3	7.262223E-1
9/18/2019  16:35:20.	-1.009605E-2	6.531057E-1
9/18/2019  16:35:20.	-5.264566E-3	5.864312E-1
9/18/2019  16:35:20.	-7.036110E-3	5.126705E-1
9/18/2019  16:35:20.	-5.103516E-3	4.392320E-1
9/18/2019  16:35:20.	-1.235074E-2	3.680481E-1
9/18/2019  16:35:20.	-1.508858E-2	3.000852E-1
9/18/2019  16:35:20.	-1.154549E-2	2.232646E-1
9/18/2019  16:35:20.	-1.476648E-2	1.515976E-1
9/18/2019  16:35:20.	-1.798747E-2	8.138003E-2
9/18/2019  16:35:20.	-2.056426E-2	8.907785E-3
9/18/2019  16:35:20.	-2.040321E-2	-6.259816E-2
9/18/2019  16:35:20.	-2.426840E-2	-1.370030E-1
9/18/2019  16:35:20.	-2.684519E-2	-2.093142E-1
9/18/2019  16:35:20.	-2.845568E-2	-2.832359E-1
9/18/2019  16:35:20.	-3.071038E-2	-3.520040E-1
9/18/2019  16:35:20.	-2.926093E-2	-4.265699E-1
9/18/2019  16:35:20.	-3.344822E-2	-4.974316E-1
9/18/2019  16:35:20.	-3.232087E-2	-5.637840E-1
9/18/2019  16:35:20.	-2.990513E-2	-6.433425E-1
9/18/2019  16:35:20.	-3.521976E-2	-7.138821E-1
9/18/2019  16:35:20.	-4.021229E-2	-7.832945E-1
9/18/2019  16:35:20.	-3.876285E-2	-8.548004E-1
9/18/2019  16:35:20.	-3.908495E-2	-9.259843E-1
9/18/2019  16:35:20.	-4.037334E-2	-9.991008E-1
9/18/2019  16:35:20.	-4.423853E-2	-1.070446E+0
9/18/2019  16:35:20.	-5.051946E-2	-1.135510E+0
9/18/2019  16:35:20.	-4.842581E-2	-1.211525E+0
9/18/2019  16:35:20.	-4.745952E-2	-1.280938E+0
9/18/2019  16:35:20.	-5.341835E-2	-1.349706E+0
9/18/2019  16:35:20.	-5.164680E-2	-1.417830E+0
9/18/2019  16:35:20.	-5.309625E-2	-1.485471E+0
9/18/2019  16:35:20.	-5.583409E-2	-1.551662E+0
9/18/2019  16:35:20.	-5.325730E-2	-1.621558E+0
9/18/2019  16:35:20.	-5.309625E-2	-1.691292E+0
9/18/2019  16:35:20.	-5.406254E-2	-1.760705E+0
9/18/2019  16:35:20.	-5.680039E-2	-1.822226E+0
9/18/2019  16:35:20.	-6.114872E-2	-1.891317E+0
9/18/2019  16:35:20.	-6.034347E-2	-1.962501E+0
9/18/2019  16:35:20.	-5.792773E-2	-2.024022E+0
9/18/2019  16:35:20.	-6.549705E-2	-2.085865E+0
9/18/2019  16:35:20.	-6.662440E-2	-2.151090E+0
9/18/2019  16:35:20.	-6.388656E-2	-2.211484E+0
9/18/2019  16:35:20.	-7.177798E-2	-2.277998E+0
9/18/2019  16:35:20.	-7.467687E-2	-2.341291E+0
9/18/2019  16:35:20.	-7.113378E-2	-2.405872E+0
9/18/2019  16:35:20.	-7.097274E-2	-2.469809E+0
9/18/2019  16:35:20.	-6.662440E-2	-2.529881E+0
9/18/2019  16:35:20.	-7.483792E-2	-2.594784E+0
9/18/2019  16:35:20.	-7.548212E-2	-2.652762E+0
9/18/2019  16:35:20.	-7.242218E-2	-2.710419E+0
9/18/2019  16:35:20.	-7.580422E-2	-2.765820E+0
9/18/2019  16:35:20.	-7.789786E-2	-2.827180E+0
9/18/2019  16:35:20.	-7.564317E-2	-2.884837E+0
9/18/2019  16:35:20.	-8.079675E-2	-2.942171E+0
9/18/2019  16:35:20.	-8.611138E-2	-3.002726E+0
9/18/2019  16:35:20.	-8.353459E-2	-3.050558E+0
9/18/2019  16:35:20.	-7.983045E-2	-3.110630E+0
9/18/2019  16:35:20.	-8.852712E-2	-3.161522E+0
9/18/2019  16:35:20.	-8.772188E-2	-3.211931E+0
9/18/2019  16:35:20.	-9.271441E-2	-3.271520E+0
9/18/2019  16:35:20.	-8.965447E-2	-3.323218E+0
9/18/2019  16:35:20.	-9.223126E-2	-3.376204E+0
9/18/2019  16:35:20.	-9.593540E-2	-3.416628E+0
9/18/2019  16:35:20.	-9.593540E-2	-3.468808E+0
9/18/2019  16:35:20.	-9.255336E-2	-3.521633E+0
9/18/2019  16:35:20.	-9.464700E-2	-3.565923E+0
9/18/2019  16:35:20.	-9.400280E-2	-3.617620E+0
9/18/2019  16:35:20.	-9.351966E-2	-3.662715E+0
9/18/2019  16:35:20.	-9.303651E-2	-3.707809E+0
9/18/2019  16:35:20.	-9.190916E-2	-3.749039E+0
9/18/2019  16:35:20.	-9.690169E-2	-3.792523E+0
9/18/2019  16:35:20.	-9.529120E-2	-3.838745E+0
9/18/2019  16:35:20.	-9.303651E-2	-3.874015E+0
9/18/2019  16:35:20.	-9.190916E-2	-3.917338E+0
9/18/2019  16:35:20.	-9.158706E-2	-3.960500E+0
9/18/2019  16:35:20.	-9.255336E-2	-3.998025E+0
9/18/2019  16:35:20.	-9.239231E-2	-4.034584E+0
9/18/2019  16:35:20.	-9.706274E-2	-4.069855E+0
9/18/2019  16:35:20.	-9.754589E-2	-4.105608E+0
9/18/2019  16:35:20.	-9.706274E-2	-4.142972E+0
9/18/2019  16:35:20.	-9.657959E-2	-4.177116E+0
9/18/2019  16:35:20.	-1.006058E-1	-4.213191E+0
9/18/2019  16:35:20.	-1.001227E-1	-4.240248E+0
9/18/2019  16:35:20.	-9.625750E-2	-4.278901E+0
9/18/2019  16:35:20.	-1.030216E-1	-4.304830E+0
9/18/2019  16:35:20.	-1.041489E-1	-4.330760E+0
9/18/2019  16:35:20.	-1.043100E-1	-4.360394E+0
9/18/2019  16:35:20.	-1.080141E-1	-4.386001E+0
9/18/2019  16:35:20.	-1.084973E-1	-4.413863E+0
9/18/2019  16:35:20.	-1.067257E-1	-4.440115E+0
9/18/2019  16:35:20.	-1.047931E-1	-4.460247E+0
9/18/2019  16:35:20.	-1.093025E-1	-4.487787E+0
9/18/2019  16:35:20.	-1.112351E-1	-4.505180E+0
9/18/2019  16:35:20.	-1.120403E-1	-4.524507E+0
9/18/2019  16:35:20.	-1.125235E-1	-4.551725E+0
9/18/2019  16:35:20.	-1.123624E-1	-4.571534E+0
9/18/2019  16:35:20.	-1.141340E-1	-4.590216E+0
9/18/2019  16:35:20.	-1.154224E-1	-4.598108E+0
9/18/2019  16:35:20.	-1.133287E-1	-4.616629E+0
9/18/2019  16:35:20.	-1.144561E-1	-4.633540E+0
9/18/2019  16:35:20.	-1.136508E-1	-4.642559E+0
9/18/2019  16:35:20.	-1.134898E-1	-4.654638E+0
9/18/2019  16:35:20.	-1.131677E-1	-4.672515E+0
9/18/2019  16:35:20.	-1.097856E-1	-4.672676E+0
9/18/2019  16:35:20.	-1.151003E-1	-4.682500E+0
9/18/2019  16:35:20.	-1.171939E-1	-4.691841E+0
9/18/2019  16:35:20.	-1.142950E-1	-4.699733E+0
9/18/2019  16:35:20.	-1.168718E-1	-4.709235E+0
9/18/2019  16:35:20.	-1.142950E-1	-4.711651E+0
9/18/2019  16:35:20.	-1.163887E-1	-4.711329E+0
9/18/2019  16:35:20.	-1.168718E-1	-4.719703E+0
9/18/2019  16:35:20.	-1.176771E-1	-4.719542E+0
9/18/2019  16:35:20.	-1.189655E-1	-4.719381E+0
9/18/2019  16:35:20.	-1.154224E-1	-4.720670E+0
9/18/2019  16:35:20.	-1.191265E-1	-4.720187E+0
9/18/2019  16:35:20.	-1.178381E-1	-4.713422E+0
9/18/2019  16:35:20.	-1.188044E-1	-4.711812E+0
9/18/2019  16:35:20.	-1.186434E-1	-4.701827E+0
