Channel	X	Y
Start Time	9/18/2019  16:29:09.	9/18/2019  16:29:09.
Chart History (Refresh Period)	3.829480E-5	3.829480E-5

Time	X	Y
9/18/2019  16:29:09.	-1.188044E-1	-4.397436E+0
9/18/2019  16:29:09.	-1.175160E-1	-4.424171E+0
9/18/2019  16:29:09.	-1.188044E-1	-4.452194E+0
9/18/2019  16:29:09.	-1.136508E-1	-4.469588E+0
9/18/2019  16:29:09.	-1.197707E-1	-4.487626E+0
9/18/2019  16:29:09.	-1.184823E-1	-4.516132E+0
9/18/2019  16:29:09.	-1.168718E-1	-4.534814E+0
9/18/2019  16:29:09.	-1.220254E-1	-4.551081E+0
9/18/2019  16:29:09.	-1.179992E-1	-4.571695E+0
9/18/2019  16:29:09.	-1.212202E-1	-4.579587E+0
9/18/2019  16:29:09.	-1.157445E-1	-4.599235E+0
9/18/2019  16:29:09.	-1.196097E-1	-4.616307E+0
9/18/2019  16:29:09.	-1.217033E-1	-4.626776E+0
9/18/2019  16:29:09.	-1.096246E-1	-4.636278E+0
9/18/2019  16:29:09.	-1.212202E-1	-4.655121E+0
9/18/2019  16:29:09.	-1.196097E-1	-4.664945E+0
9/18/2019  16:29:09.	-1.210591E-1	-4.674447E+0
9/18/2019  16:29:09.	-1.231528E-1	-4.681856E+0
9/18/2019  16:29:09.	-1.184823E-1	-4.691680E+0
9/18/2019  16:29:09.	-1.237969E-1	-4.700699E+0
9/18/2019  16:29:09.	-1.197707E-1	-4.703115E+0
9/18/2019  16:29:09.	-1.239580E-1	-4.712456E+0
9/18/2019  16:29:09.	-1.212202E-1	-4.711490E+0
9/18/2019  16:29:09.	-1.207370E-1	-4.711168E+0
9/18/2019  16:29:09.	-1.229917E-1	-4.720992E+0
9/18/2019  16:29:09.	-1.194486E-1	-4.720509E+0
9/18/2019  16:29:09.	-1.249243E-1	-4.719865E+0
9/18/2019  16:29:09.	-1.199318E-1	-4.722119E+0
9/18/2019  16:29:09.	-1.179992E-1	-4.722602E+0
9/18/2019  16:29:09.	-1.220254E-1	-4.714067E+0
9/18/2019  16:29:09.	-1.207370E-1	-4.712778E+0
9/18/2019  16:29:09.	-1.184823E-1	-4.701504E+0
9/18/2019  16:29:09.	-1.176771E-1	-4.705209E+0
9/18/2019  16:29:09.	-1.202539E-1	-4.693935E+0
9/18/2019  16:29:09.	-1.173550E-1	-4.687493E+0
9/18/2019  16:29:09.	-1.175160E-1	-4.676702E+0
9/18/2019  16:29:09.	-1.170329E-1	-4.666073E+0
9/18/2019  16:29:09.	-1.141340E-1	-4.659792E+0
9/18/2019  16:29:09.	-1.186434E-1	-4.639982E+0
9/18/2019  16:29:09.	-1.183213E-1	-4.632251E+0
9/18/2019  16:29:09.	-1.184823E-1	-4.623393E+0
9/18/2019  16:29:09.	-1.183213E-1	-4.603101E+0
9/18/2019  16:29:09.	-1.173550E-1	-4.586673E+0
9/18/2019  16:29:09.	-1.151003E-1	-4.576849E+0
9/18/2019  16:29:09.	-1.183213E-1	-4.558006E+0
9/18/2019  16:29:09.	-1.144561E-1	-4.533043E+0
9/18/2019  16:29:09.	-1.146171E-1	-4.512428E+0
9/18/2019  16:29:09.	-1.157445E-1	-4.495195E+0
9/18/2019  16:29:09.	-1.167108E-1	-4.476030E+0
9/18/2019  16:29:09.	-1.126845E-1	-4.450905E+0
9/18/2019  16:29:09.	-1.122014E-1	-4.432545E+0
9/18/2019  16:29:09.	-1.130066E-1	-4.405811E+0
9/18/2019  16:29:09.	-1.118793E-1	-4.378271E+0
9/18/2019  16:29:09.	-1.104298E-1	-4.358622E+0
9/18/2019  16:29:09.	-1.102688E-1	-4.332048E+0
9/18/2019  16:29:09.	-1.093025E-1	-4.296134E+0
9/18/2019  16:29:09.	-1.093025E-1	-4.269882E+0
9/18/2019  16:29:09.	-1.076920E-1	-4.242503E+0
9/18/2019  16:29:09.	-1.081752E-1	-4.214963E+0
9/18/2019  16:29:09.	-1.060815E-1	-4.181142E+0
9/18/2019  16:29:09.	-1.065647E-1	-4.151669E+0
9/18/2019  16:29:09.	-1.039879E-1	-4.117526E+0
9/18/2019  16:29:09.	-1.044710E-1	-4.083222E+0
9/18/2019  16:29:09.	-1.018942E-1	-4.045858E+0
9/18/2019  16:29:09.	-1.006058E-1	-4.010426E+0
9/18/2019  16:29:09.	-1.007669E-1	-3.975156E+0
9/18/2019  16:29:09.	-1.004448E-1	-3.940368E+0
9/18/2019  16:29:09.	-9.819009E-2	-3.895757E+0
9/18/2019  16:29:09.	-9.690169E-2	-3.859037E+0
9/18/2019  16:29:09.	-9.641855E-2	-3.815875E+0
9/18/2019  16:29:09.	-9.867324E-2	-3.779799E+0
9/18/2019  16:29:09.	-9.754589E-2	-3.736799E+0
9/18/2019  16:29:09.	-9.657959E-2	-3.692992E+0
