Channel	X	Y
Start Time	9/18/2019  16:28:31.	9/18/2019  16:28:31.
Chart History (Refresh Period)	3.829480E-5	3.829480E-5

Time	X	Y
9/18/2019  16:28:31.	-3.666921E-2	-8.689728E-1
9/18/2019  16:28:31.	-3.344822E-2	-8.045530E-1
9/18/2019  16:28:31.	-3.183772E-2	-7.344965E-1
9/18/2019  16:28:31.	-3.344822E-2	-6.694325E-1
9/18/2019  16:28:31.	-2.748939E-2	-6.005033E-1
9/18/2019  16:28:31.	-2.008111E-2	-5.277089E-1
9/18/2019  16:28:31.	-2.362420E-2	-4.592629E-1
9/18/2019  16:28:31.	-1.814852E-2	-3.909780E-1
9/18/2019  16:28:31.	-1.750432E-2	-3.226930E-1
9/18/2019  16:28:31.	-1.718222E-2	-2.556964E-1
9/18/2019  16:28:31.	-1.186759E-2	-1.891830E-1
9/18/2019  16:28:31.	-1.202864E-2	-1.220254E-1
9/18/2019  16:28:31.	-1.009605E-2	-4.955316E-2
9/18/2019  16:28:31.	-9.612901E-3	1.728236E-2
9/18/2019  16:28:31.	-8.968703E-3	8.878831E-2
9/18/2019  16:28:31.	-6.714011E-3	1.535302E-1
9/18/2019  16:28:31.	-6.230863E-3	2.243919E-1
9/18/2019  16:28:31.	-5.425615E-3	2.894559E-1
9/18/2019  16:28:31.	-3.976170E-3	3.572578E-1
9/18/2019  16:28:31.	-5.747714E-3	4.286027E-1
9/18/2019  16:28:31.	-2.526725E-3	4.947940E-1
9/18/2019  16:28:31.	-3.170923E-3	5.658169E-1
9/18/2019  16:28:31.	1.177412E-3	6.303978E-1
9/18/2019  16:28:31.	3.593153E-3	6.994880E-1
9/18/2019  16:28:31.	3.754203E-3	7.651963E-1
9/18/2019  16:28:31.	6.169944E-3	8.381517E-1
9/18/2019  16:28:31.	6.330994E-3	9.009611E-1
9/18/2019  16:28:31.	5.847845E-3	9.663473E-1
9/18/2019  16:28:31.	1.228982E-2	1.036726E+0
9/18/2019  16:28:31.	1.245087E-2	1.099696E+0
9/18/2019  16:28:31.	1.180667E-2	1.169109E+0
9/18/2019  16:28:31.	1.438347E-2	1.238038E+0
9/18/2019  16:28:31.	1.261192E-2	1.304391E+0
9/18/2019  16:28:31.	1.486661E-2	1.365268E+0
9/18/2019  16:28:31.	1.551081E-2	1.432425E+0
9/18/2019  16:28:31.	1.776550E-2	1.497168E+0
9/18/2019  16:28:31.	1.808760E-2	1.562071E+0
9/18/2019  16:28:31.	2.082544E-2	1.627618E+0
9/18/2019  16:28:31.	2.227489E-2	1.693327E+0
9/18/2019  16:28:31.	2.259699E-2	1.753237E+0
9/18/2019  16:28:31.	2.501273E-2	1.820556E+0
9/18/2019  16:28:31.	2.710637E-2	1.881916E+0
9/18/2019  16:28:31.	3.097156E-2	1.942793E+0
9/18/2019  16:28:31.	2.855582E-2	2.006891E+0
9/18/2019  16:28:31.	3.209890E-2	2.070989E+0
9/18/2019  16:28:31.	2.936106E-2	2.129773E+0
9/18/2019  16:28:31.	3.209890E-2	2.190650E+0
9/18/2019  16:28:31.	3.580304E-2	2.251688E+0
9/18/2019  16:28:31.	3.419255E-2	2.313210E+0
9/18/2019  16:28:31.	3.403150E-2	2.374892E+0
9/18/2019  16:28:31.	3.918508E-2	2.432870E+0
9/18/2019  16:28:31.	3.902403E-2	2.488755E+0
9/18/2019  16:28:31.	3.918508E-2	2.546894E+0
9/18/2019  16:28:31.	4.256712E-2	2.604873E+0
9/18/2019  16:28:31.	4.466076E-2	2.662046E+0
9/18/2019  16:28:31.	4.772070E-2	2.718414E+0
9/18/2019  16:28:31.	4.643230E-2	2.775909E+0
9/18/2019  16:28:31.	4.739860E-2	2.828251E+0
9/18/2019  16:28:31.	4.884805E-2	2.886068E+0
9/18/2019  16:28:31.	5.271323E-2	2.938249E+0
9/18/2019  16:28:31.	4.868700E-2	2.992201E+0
9/18/2019  16:28:31.	5.351848E-2	3.047119E+0
9/18/2019  16:28:31.	5.480687E-2	3.097045E+0
9/18/2019  16:28:31.	5.673947E-2	3.147938E+0
9/18/2019  16:28:31.	6.076570E-2	3.198508E+0
9/18/2019  16:28:31.	6.140990E-2	3.247307E+0
9/18/2019  16:28:31.	6.060465E-2	3.297877E+0
9/18/2019  16:28:31.	6.140990E-2	3.348286E+0
9/18/2019  16:28:31.	6.398669E-2	3.397729E+0
9/18/2019  16:28:31.	6.559719E-2	3.444595E+0
