Channel	X	Y
Start Time	9/18/2019  16:31:50.	9/18/2019  16:31:50.
Chart History (Refresh Period)	3.829480E-5	3.829480E-5

Time	X	Y
9/18/2019  16:31:50.	-3.827970E-2	-1.077693E+0
9/18/2019  16:31:50.	-3.264297E-2	-1.017299E+0
9/18/2019  16:31:50.	-3.489766E-2	-9.462766E-1
9/18/2019  16:31:50.	-3.232087E-2	-8.815347E-1
9/18/2019  16:31:50.	-2.781149E-2	-8.114781E-1
9/18/2019  16:31:50.	-2.990513E-2	-7.460920E-1
9/18/2019  16:31:50.	-2.781149E-2	-6.770018E-1
9/18/2019  16:31:50.	-2.587889E-2	-6.125820E-1
9/18/2019  16:31:50.	-2.281895E-2	-5.415592E-1
9/18/2019  16:31:50.	-2.459050E-2	-4.724690E-1
9/18/2019  16:31:50.	-2.024216E-2	-4.062777E-1
9/18/2019  16:31:50.	-1.557173E-2	-3.367043E-1
9/18/2019  16:31:50.	-1.847062E-2	-2.684193E-1
9/18/2019  16:31:50.	-1.669908E-2	-1.999733E-1
9/18/2019  16:31:50.	-1.492753E-2	-1.278232E-1
9/18/2019  16:31:50.	-1.251179E-2	-6.227607E-2
9/18/2019  16:31:50.	-9.935000E-3	2.465807E-3
9/18/2019  16:31:50.	-1.186759E-2	7.509910E-2
9/18/2019  16:31:50.	-8.646604E-3	1.467661E-1
9/18/2019  16:31:50.	-8.002406E-3	2.108638E-1
9/18/2019  16:31:50.	-6.069813E-3	2.818866E-1
9/18/2019  16:31:50.	-7.680307E-3	3.530705E-1
9/18/2019  16:31:50.	-3.815121E-3	4.145914E-1
9/18/2019  16:31:50.	8.553127E-4	4.835206E-1
9/18/2019  16:31:50.	-3.493022E-3	5.584086E-1
9/18/2019  16:31:50.	3.432104E-3	6.191243E-1
9/18/2019  16:31:50.	6.942632E-4	6.866041E-1
9/18/2019  16:31:50.	3.271054E-3	7.590764E-1
9/18/2019  16:31:50.	2.465807E-3	8.239794E-1
9/18/2019  16:31:50.	7.136241E-3	8.904929E-1
9/18/2019  16:31:50.	8.263587E-3	9.592611E-1
9/18/2019  16:31:50.	7.136241E-3	1.024647E+0
9/18/2019  16:31:50.	1.035723E-2	1.094543E+0
9/18/2019  16:31:50.	1.245087E-2	1.156225E+0
9/18/2019  16:31:50.	1.245087E-2	1.226121E+0
9/18/2019  16:31:50.	1.067933E-2	1.294728E+0
9/18/2019  16:31:50.	8.424636E-3	1.360114E+0
9/18/2019  16:31:50.	9.874081E-3	1.419219E+0
9/18/2019  16:31:50.	1.180667E-2	1.486538E+0
9/18/2019  16:31:50.	1.228982E-2	1.549509E+0
9/18/2019  16:31:50.	1.534976E-2	1.614734E+0
9/18/2019  16:31:50.	1.567186E-2	1.684469E+0
9/18/2019  16:31:50.	1.905390E-2	1.745185E+0
9/18/2019  16:31:50.	2.098649E-2	1.809605E+0
9/18/2019  16:31:50.	2.243594E-2	1.870482E+0
9/18/2019  16:31:50.	2.227489E-2	1.933775E+0
9/18/2019  16:31:50.	2.324118E-2	1.997389E+0
