Channel	X	Y
Start Time	9/18/2019  16:21:28.	9/18/2019  16:21:28.
Chart History (Refresh Period)	1.229289E-5	1.229289E-5

Time	X	Y
9/18/2019  16:21:28.	2.002020E-2	1.506508E+0
9/18/2019  16:21:28.	1.889285E-2	1.485733E+0
9/18/2019  16:21:28.	1.390032E-2	1.462220E+0
9/18/2019  16:21:28.	1.277297E-2	1.440478E+0
9/18/2019  16:21:28.	1.567186E-2	1.417609E+0
9/18/2019  16:21:28.	1.760445E-2	1.396189E+0
9/18/2019  16:21:28.	1.953705E-2	1.379440E+0
9/18/2019  16:21:28.	1.808760E-2	1.354960E+0
9/18/2019  16:21:28.	1.422242E-2	1.335634E+0
9/18/2019  16:21:28.	1.261192E-2	1.312926E+0
9/18/2019  16:21:28.	1.373927E-2	1.291185E+0
9/18/2019  16:21:28.	1.502766E-2	1.269926E+0
9/18/2019  16:21:28.	1.470556E-2	1.252211E+0
9/18/2019  16:21:28.	1.583291E-2	1.230147E+0
9/18/2019  16:21:28.	1.502766E-2	1.208405E+0
9/18/2019  16:21:28.	1.325612E-2	1.184892E+0
9/18/2019  16:21:28.	1.132353E-2	1.168465E+0
9/18/2019  16:21:28.	1.261192E-2	1.144951E+0
9/18/2019  16:21:28.	1.212877E-2	1.121921E+0
9/18/2019  16:21:28.	1.132353E-2	1.105494E+0
9/18/2019  16:21:28.	1.003513E-2	1.081659E+0
9/18/2019  16:21:28.	1.084038E-2	1.058468E+0
9/18/2019  16:21:28.	1.132353E-2	1.041235E+0
9/18/2019  16:21:28.	9.229883E-3	1.017400E+0
9/18/2019  16:21:28.	7.297290E-3	9.942089E-1
9/18/2019  16:21:28.	1.019618E-2	9.766545E-1
9/18/2019  16:21:28.	8.746735E-3	9.534633E-1
9/18/2019  16:21:28.	7.941488E-3	9.286617E-1
9/18/2019  16:21:28.	8.746735E-3	9.119125E-1
9/18/2019  16:21:28.	7.619389E-3	8.895266E-1
9/18/2019  16:21:28.	3.915252E-3	8.650470E-1
9/18/2019  16:21:28.	6.330994E-3	8.482979E-1
9/18/2019  16:21:28.	3.915252E-3	8.233352E-1
9/18/2019  16:21:28.	5.042598E-3	8.049755E-1
9/18/2019  16:21:28.	5.364697E-3	7.801739E-1
9/18/2019  16:21:28.	6.492043E-3	7.579490E-1
9/18/2019  16:21:28.	5.686796E-3	7.391062E-1
9/18/2019  16:21:28.	6.942632E-4	7.157540E-1
9/18/2019  16:21:28.	3.721644E-4	6.944955E-1
9/18/2019  16:21:28.	-7.551817E-4	6.732369E-1
9/18/2019  16:21:28.	-1.238330E-3	6.487574E-1
9/18/2019  16:21:28.	2.787906E-3	6.303978E-1
9/18/2019  16:21:28.	-1.721478E-3	6.057572E-1
9/18/2019  16:21:28.	6.653092E-3	5.873975E-1
9/18/2019  16:21:28.	-7.551817E-4	5.625959E-1
9/18/2019  16:21:28.	-2.204627E-3	5.385995E-1
9/18/2019  16:21:28.	-1.109839E-4	5.194346E-1
9/18/2019  16:21:28.	-4.137220E-3	4.949551E-1
9/18/2019  16:21:28.	-1.721478E-3	4.767565E-1
9/18/2019  16:21:28.	-4.620368E-3	4.653220E-1
9/18/2019  16:21:28.	-4.137220E-3	4.332731E-1
9/18/2019  16:21:28.	-2.043577E-3	4.149135E-1
9/18/2019  16:21:28.	-4.459319E-3	3.891456E-1
9/18/2019  16:21:28.	-4.781418E-3	3.706249E-1
9/18/2019  16:21:28.	-7.841357E-3	3.451791E-1
9/18/2019  16:21:28.	-5.747714E-3	3.239205E-1
9/18/2019  16:21:28.	-4.781418E-3	3.007294E-1
9/18/2019  16:21:28.	-3.170923E-3	2.805982E-1
9/18/2019  16:21:28.	-7.841357E-3	2.556355E-1
9/18/2019  16:21:28.	-9.129752E-3	2.364707E-1
9/18/2019  16:21:28.	-5.103516E-3	2.173058E-1
9/18/2019  16:21:28.	-8.002406E-3	1.910547E-1
9/18/2019  16:21:28.	-4.781418E-3	1.722119E-1
9/18/2019  16:21:28.	-7.519258E-3	1.538523E-1
9/18/2019  16:21:28.	-7.519258E-3	1.264739E-1
9/18/2019  16:21:28.	-9.773950E-3	1.076311E-1
9/18/2019  16:21:28.	-9.129752E-3	8.202423E-2
9/18/2019  16:21:28.	-6.391912E-3	6.012151E-2
9/18/2019  16:21:28.	-6.069813E-3	4.079557E-2
9/18/2019  16:21:28.	-8.485555E-3	1.502766E-2
9/18/2019  16:21:28.	-1.122340E-2	-2.043577E-3
9/18/2019  16:21:28.	-1.090130E-2	-2.829464E-2
9/18/2019  16:21:28.	-1.057920E-2	-4.778162E-2
9/18/2019  16:21:28.	-1.025710E-2	-6.968434E-2
9/18/2019  16:21:28.	-5.747714E-3	-9.657959E-2
9/18/2019  16:21:28.	-9.451851E-3	-1.160666E-1
9/18/2019  16:21:28.	-6.069813E-3	-1.347483E-1
9/18/2019  16:21:28.	-1.154549E-2	-1.539132E-1
9/18/2019  16:21:28.	-1.170654E-2	-1.829021E-1
9/18/2019  16:21:28.	-1.347809E-2	-2.025501E-1
9/18/2019  16:21:28.	-1.154549E-2	-2.231644E-1
9/18/2019  16:21:28.	-1.074025E-2	-2.429735E-1
9/18/2019  16:21:28.	-9.129752E-3	-2.692246E-1
9/18/2019  16:21:28.	-1.025710E-2	-2.895168E-1
9/18/2019  16:21:28.	-1.637698E-2	-3.096480E-1
9/18/2019  16:21:28.	-1.686013E-2	-3.313897E-1
9/18/2019  16:21:28.	-1.573278E-2	-3.516819E-1
9/18/2019  16:21:28.	-1.734327E-2	-3.788992E-1
9/18/2019  16:21:28.	-1.637698E-2	-3.990304E-1
9/18/2019  16:21:28.	-1.702117E-2	-4.185174E-1
9/18/2019  16:21:28.	-8.807654E-3	-4.405812E-1
9/18/2019  16:21:28.	-1.589383E-2	-4.597461E-1
9/18/2019  16:21:28.	-1.959797E-2	-4.814877E-1
9/18/2019  16:21:28.	-2.169161E-2	-5.080609E-1
9/18/2019  16:21:28.	-2.442945E-2	-5.306078E-1
9/18/2019  16:21:28.	-2.169161E-2	-5.497727E-1
9/18/2019  16:21:28.	-2.346315E-2	-5.737691E-1
