Channel	X	Y
Start Time	9/18/2019  16:27:09.	9/18/2019  16:27:09.
Chart History (Refresh Period)	1.229289E-5	1.229289E-5

Time	X	Y
9/18/2019  16:27:09.	1.048933E-1	4.745905E+0
9/18/2019  16:27:09.	1.047322E-1	4.747998E+0
9/18/2019  16:27:09.	1.053764E-1	4.748320E+0
9/18/2019  16:27:09.	1.032828E-1	4.749448E+0
9/18/2019  16:27:09.	1.037659E-1	4.750736E+0
9/18/2019  16:27:09.	1.031217E-1	4.750575E+0
9/18/2019  16:27:09.	1.048933E-1	4.752186E+0
9/18/2019  16:27:09.	1.058595E-1	4.751864E+0
9/18/2019  16:27:09.	1.071479E-1	4.752669E+0
9/18/2019  16:27:09.	1.034438E-1	4.752991E+0
9/18/2019  16:27:09.	1.063427E-1	4.754602E+0
9/18/2019  16:27:09.	1.042491E-1	4.753474E+0
9/18/2019  16:27:09.	1.061816E-1	4.753796E+0
9/18/2019  16:27:09.	1.050543E-1	4.752991E+0
9/18/2019  16:27:09.	1.055374E-1	4.753635E+0
9/18/2019  16:27:09.	1.066648E-1	4.753796E+0
9/18/2019  16:27:09.	1.044101E-1	4.752347E+0
9/18/2019  16:27:09.	1.044101E-1	4.751058E+0
9/18/2019  16:27:09.	1.047322E-1	4.751219E+0
9/18/2019  16:27:09.	1.045712E-1	4.751219E+0
9/18/2019  16:27:09.	1.056985E-1	4.750897E+0
9/18/2019  16:27:09.	1.066648E-1	4.750092E+0
9/18/2019  16:27:09.	1.040880E-1	4.747837E+0
9/18/2019  16:27:09.	1.036049E-1	4.747837E+0
9/18/2019  16:27:09.	1.069869E-1	4.746066E+0
9/18/2019  16:27:09.	1.061816E-1	4.744133E+0
9/18/2019  16:27:09.	1.026386E-1	4.744455E+0
9/18/2019  16:27:09.	1.048933E-1	4.742684E+0
9/18/2019  16:27:09.	1.039270E-1	4.740107E+0
9/18/2019  16:27:09.	1.065037E-1	4.737530E+0
9/18/2019  16:27:09.	1.044101E-1	4.736402E+0
9/18/2019  16:27:09.	1.073090E-1	4.736564E+0
9/18/2019  16:27:09.	1.027996E-1	4.733020E+0
9/18/2019  16:27:09.	1.040880E-1	4.731410E+0
9/18/2019  16:27:09.	1.015112E-1	4.729477E+0
9/18/2019  16:27:09.	1.042491E-1	4.728028E+0
9/18/2019  16:27:09.	1.061816E-1	4.725129E+0
9/18/2019  16:27:09.	1.058595E-1	4.722713E+0
9/18/2019  16:27:09.	1.023165E-1	4.719814E+0
9/18/2019  16:27:09.	1.031217E-1	4.716915E+0
9/18/2019  16:27:09.	1.010281E-1	4.714660E+0
9/18/2019  16:27:09.	1.026386E-1	4.711117E+0
9/18/2019  16:27:09.	1.042491E-1	4.708540E+0
9/18/2019  16:27:09.	1.032828E-1	4.704031E+0
9/18/2019  16:27:09.	1.036049E-1	4.702903E+0
9/18/2019  16:27:09.	1.036049E-1	4.697910E+0
9/18/2019  16:27:09.	1.018333E-1	4.696300E+0
9/18/2019  16:27:09.	1.008670E-1	4.691951E+0
9/18/2019  16:27:09.	1.013502E-1	4.688408E+0
9/18/2019  16:27:09.	1.007060E-1	4.685187E+0
9/18/2019  16:27:09.	1.016723E-1	4.681322E+0
9/18/2019  16:27:09.	9.861232E-2	4.677296E+0
9/18/2019  16:27:09.	1.040880E-1	4.673108E+0
9/18/2019  16:27:09.	1.021554E-1	4.670209E+0
9/18/2019  16:27:09.	1.011891E-1	4.665700E+0
9/18/2019  16:27:09.	1.015112E-1	4.661351E+0
9/18/2019  16:27:09.	9.909547E-2	4.656842E+0
9/18/2019  16:27:09.	1.000618E-1	4.652976E+0
9/18/2019  16:27:09.	1.002228E-1	4.647017E+0
9/18/2019  16:27:09.	1.007060E-1	4.642508E+0
9/18/2019  16:27:09.	1.026386E-1	4.637837E+0
9/18/2019  16:27:09.	1.011891E-1	4.634133E+0
9/18/2019  16:27:09.	9.973967E-2	4.629301E+0
9/18/2019  16:27:09.	9.877337E-2	4.625597E+0
9/18/2019  16:27:09.	1.015112E-1	4.617544E+0
9/18/2019  16:27:09.	9.909547E-2	4.613196E+0
9/18/2019  16:27:09.	9.281454E-2	4.608686E+0
9/18/2019  16:27:09.	9.893442E-2	4.603050E+0
9/18/2019  16:27:09.	1.007060E-1	4.599184E+0
9/18/2019  16:27:09.	9.909547E-2	4.590648E+0
9/18/2019  16:27:09.	9.957862E-2	4.586139E+0
9/18/2019  16:27:09.	1.003839E-1	4.581146E+0
9/18/2019  16:27:09.	9.957862E-2	4.572932E+0
9/18/2019  16:27:09.	9.812918E-2	4.568584E+0
9/18/2019  16:27:09.	9.571343E-2	4.561014E+0
9/18/2019  16:27:09.	9.764603E-2	4.556344E+0
9/18/2019  16:27:09.	9.764603E-2	4.550546E+0
9/18/2019  16:27:09.	1.029607E-1	4.540561E+0
9/18/2019  16:27:09.	1.008670E-1	4.534280E+0
9/18/2019  16:27:09.	9.603553E-2	4.533313E+0
9/18/2019  16:27:09.	9.361979E-2	4.524294E+0
9/18/2019  16:27:09.	9.458609E-2	4.516080E+0
9/18/2019  16:27:09.	9.796813E-2	4.509799E+0
9/18/2019  16:27:09.	9.861232E-2	4.502713E+0
9/18/2019  16:27:09.	1.000618E-1	4.495627E+0
9/18/2019  16:27:09.	9.796813E-2	4.488701E+0
9/18/2019  16:27:09.	9.603553E-2	4.481293E+0
9/18/2019  16:27:09.	9.603553E-2	4.471952E+0
9/18/2019  16:27:09.	9.474714E-2	4.466637E+0
9/18/2019  16:27:09.	9.603553E-2	4.459228E+0
9/18/2019  16:27:09.	9.667973E-2	4.450370E+0
9/18/2019  16:27:09.	9.506924E-2	4.443123E+0
9/18/2019  16:27:09.	9.603553E-2	4.436037E+0
